from,to,PIDA,OSBP
1,2,No,No
2,3,No,No
2,4,No,No
2,5,No,No
6,7,No,No
7,8,Yes,No
7,9,No,No
3,4,No,No
3,10,No,No
11,12,No,No
11,13,No,No
11,14,No,No
15,16,No,No
4,5,No,No
4,17,No,No
5,13,No,No
5,17,No,No
10,15,No,No
10,17,No,No
10,16,No,No
12,14,No,No
12,18,No,No
13,19,No,No
13,14,No,No
13,20,No,No
8,21,No,No
9,22,No,No
17,19,No,No
8,16,No,No
16,23,No,No
16,24,No,No
9,25,No,No
19,20,No,No
14,26,No,No
18,27,No,No
20,28,No,No
27,29,No,No
26,27,No,No
29,30,No,No
29,31,No,No
30,32,No,No
30,33,No,No
30,34,No,No
21,23,No,No
23,24,No,No
26,35,No,No
26,36,No,No
21,37,No,No
24,38,No,No
35,36,No,No
28,35,No,No
39,40,No,No
31,36,No,No
28,38,No,No
28,41,No,No
32,40,No,No
32,42,No,No
40,43,No,No
40,44,No,No
31,34,No,No
31,41,No,No
44,45,No,No
25,46,No,No
25,47,No,Yes
33,34,No,No
33,42,No,No
33,48,No,No
34,48,No,No
42,43,No,No
43,49,No,No
44,50,No,No
44,51,No,No
41,48,No,No
48,49,No,No
48,52,No,No
38,53,No,Yes
41,54,No,No
49,55,No,No
49,56,No,No
53,54,No,No
52,54,No,No
50,57,No,No
50,58,No,No
46,47,No,No
46,59,No,No
51,55,No,No
55,60,No,No
53,61,No,No
37,62,No,No
57,58,No,No
57,63,No,No
51,58,No,No
58,64,No,No
47,65,No,No
51,66,No,No
52,67,No,No
63,68,No,No
64,66,No,No
60,66,No,No
61,69,No,No
61,70,No,No
64,71,No,No
60,64,No,No
60,71,No,No
56,60,No,No
65,72,No,No
72,73,No,No
62,69,No,No
62,74,No,No
73,75,No,No
67,76,No,No
69,77,No,No
70,76,No,No
70,77,No,No
68,78,No,No
68,79,No,No
71,78,No,No
71,80,No,No
67,81,No,No
56,82,No,No
56,80,No,No
56,83,No,No
75,84,No,No
84,85,No,No
84,86,No,No
84,87,No,No
77,81,No,No
81,82,No,No
75,88,No,No
78,79,No,No
78,89,No,No
85,86,No,No
85,90,No,No
86,87,No,No
86,91,No,No
87,88,No,No
79,92,No,No
88,91,No,No
88,93,No,No
81,83,No,No
81,94,Yes,No
90,91,No,No
91,93,No,No
89,92,No,No
80,89,No,No
92,95,No,No
90,96,No,No
90,97,No,No
80,83,No,No
80,98,No,No
83,99,No,No
93,100,No,No
95,101,No,No
101,102,No,No
101,103,No,No
96,104,No,No
105,106,No,No
105,107,No,No
102,106,No,No
106,108,No,No
102,103,No,No
102,108,No,No
97,100,No,No
97,110,No,No
98,111,No,No
98,112,No,No
103,113,No,No
100,110,No,No
74,94,No,No
94,114,Yes,No
108,115,No,No
108,116,No,No
109,117,No,No
104,109,No,No
109,118,No,No
109,119,No,No
117,119,No,No
114,120,No,No
114,121,Yes,No
99,111,No,No
111,122,No,No
104,110,No,No
110,118,No,No
99,120,No,No
112,123,No,No
112,124,No,No
104,118,No,No
120,125,No,No
120,126,No,No
123,124,No,No
123,128,No,No
113,115,No,No
113,128,No,No
122,124,No,No
124,129,No,No
122,130,No,No
115,116,No,No
115,131,No,No
128,132,No,No
118,133,No,No
121,125,No,No
125,126,No,No
121,134,Yes,No
121,135,No,No
127,130,No,No
127,136,No,No
126,136,No,No
126,135,No,No
130,136,No,No
130,137,No,No
107,116,No,No
119,138,No,No
136,139,No,No
136,140,No,No
136,141,No,No
134,143,Yes,No
134,144,No,No
143,144,No,No
143,145,Yes,No
131,132,No,No
131,146,No,No
107,147,Yes,No
142,146,No,No
133,148,No,No
132,149,No,No
133,138,No,No
138,150,No,No
139,140,No,No
135,139,No,No
146,151,No,No
144,152,No,No
140,153,No,No
140,154,No,No
149,151,No,No
151,155,No,No
151,156,No,No
135,152,No,No
135,157,No,No
129,137,No,No
137,141,No,No
149,158,No,No
149,159,No,No
129,160,No,No
129,161,No,No
141,153,No,No
141,162,No,No
147,163,No,Yes
153,162,No,No
147,155,Yes,No
155,163,No,No
155,156,No,No
159,160,No,No
160,164,No,No
150,165,No,No
148,150,No,No
148,165,No,No
158,166,No,No
158,167,No,No
159,164,No,No
159,168,No,No
154,162,No,No
161,162,No,No
156,167,No,No
154,169,No,No
159,166,No,No
166,170,No,No
161,164,No,No
161,171,No,No
161,172,No,No
164,173,No,No
164,174,No,No
167,170,No,No
167,175,No,No
167,176,No,No
167,177,No,No
152,178,No,No
152,179,No,No
157,169,No,No
169,180,No,No
157,178,No,No
157,180,No,No
170,175,No,No
168,170,No,No
171,178,No,No
59,182,No,No
59,183,No,No
168,175,No,No
175,177,No,No
173,184,No,No
171,180,No,No
176,181,No,No
181,185,Yes,No
168,173,No,No
168,184,No,No
168,186,No,No
168,177,No,No
176,177,No,No
184,186,No,No
174,184,No,No
185,187,Yes,No
186,188,No,No
177,187,No,No
177,188,No,No
177,189,No,No
171,190,No,No
171,172,No,No
179,190,No,No
190,191,No,No
187,192,Yes,No
179,191,No,No
179,193,No,No
188,194,No,No
172,195,No,No
174,196,No,No
174,197,No,No
172,196,No,No
196,198,No,No
182,199,No,No
182,200,No,No
201,202,No,No
