iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
MAR,0,354577.9375,751730.75,1038397.4375,557668.25,731105.75,644578,877087.875,656105.75,1014320.0625,1145168.25,710718.875,722104.625,547355.75,901016.4375,723918.25,695123.625,798814.125,702425.1875,1284900.5625,1174855.75,1230272.4375,1669152.625,1190480.75,918605.75,1015034.3125,1204543.25,1440828.25,1190480.75,2636730.75,966262,388918.25,1003762,802980.75,606105.75,362163.4375,723176.0625,727355.75,511239.6875,1177087.875,1337355.75,851418.25,704022.4375,546105.75,449855.75,409230.75,1041730.75,390480.725,981105.75,724571.6875
ESH,354577.9375,0,751730.75,1038397.4375,557668.25,731105.75,644578,877087.875,656105.75,1014320.0625,1145168.25,710718.875,722104.625,547355.75,901016.4375,723918.25,695123.625,798814.125,702425.1875,1284900.5625,1174855.75,1230272.4375,1669152.625,1190480.75,918605.75,1015034.3125,1204543.25,1440828.25,1190480.75,2636730.75,966262,388918.25,1003762,802980.75,606105.75,362163.4375,723176.0625,727355.75,511239.6875,1177087.875,1337355.75,851418.25,704022.4375,546105.75,449855.75,409230.75,1041730.75,390480.725,981105.75,724571.6875
MRT,740972.1875,740972.1875,0,1304791.6875,944062.5,1117500,1030972.25,1263482.125,922500,1400714.3125,1531562.5,1097113.125,1108498.875,933750,1287410.6875,1110312.5,1081517.875,1185208.375,1088819.4375,1671294.8125,1561250,1616666.6875,2055546.875,1576875,1305000,1401428.5625,1590937.5,1827222.5,1576875,3023125,1352656.25,775312.5,1390156.25,1189375,992500,748557.6875,1109570.3125,1113750,897633.9375,1563482.125,1723750,1237812.5,1090416.6875,932500,836250,795625,1428125,776874.975,1367500,1110965.9375
SEN,737051.75,737051.75,1014204.5625,0,700142.0625,873579.5625,1027051.8125,1019561.6875,798579.5625,1276793.875,1407642.0625,973192.6875,984578.4375,809829.5625,1163490.25,986392.0625,957597.4375,1061287.9375,964899,1547374.375,1437329.5625,1492746.25,1931626.4375,1452954.5625,1181079.5625,1277508.125,1467017.0625,1703302.0625,1452954.5625,2899204.5625,1228735.8125,651392.0625,1266235.8125,1065454.5625,868579.5625,624637.25,985649.875,989829.5625,773713.5,1439561.6875,1599829.5625,1113892.0625,966496.25,808579.5625,712329.5625,671704.5625,1304204.5625,652954.5375,1243579.5625,987045.5
GMB,656319.4375,656319.4375,1053472.25,1100138.9375,0,912847.25,946319.5,1058829.375,837847.25,1196061.5625,1326909.75,892460.375,903846.125,729097.25,1082757.9375,905659.75,876865.125,980555.625,884166.6875,1466642.0625,1356597.25,1412013.9375,1850894.125,1372222.25,1100347.25,1196775.8125,1386284.75,1622569.75,1372222.25,2818472.25,1148003.5,570659.75,1185503.5,984722.25,787847.25,543904.9375,904917.5625,909097.25,692981.1875,1358829.375,1519097.25,1033159.75,885763.9375,727847.25,631597.25,590972.25,1223472.25,572222.225,1162847.25,906313.1875
GNB,800972.1875,800972.1875,1198125,1244791.6875,884062.5,0,1090972.25,1083482.125,982500,1340714.3125,1471562.5,1037113.125,1048498.875,873750,1227410.6875,1050312.5,1021517.875,1125208.375,1028819.4375,1611294.8125,1501250,1556666.6875,1995546.875,1516875,1245000,1341428.5625,1530937.5,1767222.5,1516875,2963125,1292656.25,715312.5,1330156.25,1129375,932500,688557.6875,1049570.3125,1053750,837633.9375,1503482.125,1663750,1177812.5,1030416.6875,872500,776250,735625,1368125,716874.975,1307500,1050965.9375
DZA,819930.5,819930.5,1217083.3125,1503750,1023020.8125,1196458.3125,0,1342440.4375,1001458.3125,1479672.625,1610520.8125,1176071.4375,1067457.1875,1012708.3125,1366369,1069270.8125,1040476.1875,1264166.6875,1167777.75,1750253.125,1640208.3125,1695625,2134505.1875,1655833.3125,1383958.3125,1480386.875,1669895.8125,1906180.8125,1655833.3125,3102083.3125,1431614.5625,854270.8125,1469114.5625,1268333.3125,1071458.3125,827516,1188528.625,1192708.3125,976592.25,1642440.4375,1802708.3125,1316770.8125,1169375,1011458.3125,915208.3125,874583.3125,1507083.3125,855833.2875,1446458.3125,1189924.25
GIN,901708.3125,901708.3125,1298861.125,1345527.8125,984798.625,1038236.125,1191708.375,0,963236.125,1321450.4375,1452298.625,1017849.25,1149235,974486.125,1328146.8125,1151048.625,1122254,1225944.5,1129555.5625,1712030.9375,1601986.125,1657402.8125,2096283,1617611.125,1345736.125,1442164.6875,1631673.625,1867958.625,1617611.125,3063861.125,1393392.375,816048.625,1430892.375,1230111.125,1033236.125,789293.8125,1150306.4375,1154486.125,938370.0625,1604218.25,1764486.125,1278548.625,1131152.8125,973236.125,876986.125,836361.125,1468861.125,817611.1,1408236.125,1151702.0625
MLI,507222.20625,507222.20625,784375.01875,951041.70625,590312.51875,763750.01875,677222.26875,789732.14375,0,1046964.33125,1177812.51875,623363.14375,754748.89375,460000.01875,933660.70625,636562.51875,727767.89375,831458.39375,735069.45625,1317544.83125,1207500.01875,1262916.70625,1701796.89375,1223125.01875,951250.01875,1047678.58125,1237187.51875,1473472.51875,1223125.01875,2669375.01875,998906.26875,421562.51875,1036406.26875,835625.01875,638750.01875,394807.70625,755820.33125,760000.01875,543883.95625,1209732.14375,1370000.01875,884062.51875,736666.70625,578750.01875,482500.01875,441875.01875,1074375.01875,423124.99375,1013750.01875,757215.95625
SLE,822222.1875,822222.1875,1219375,1386041.6875,905312.5,1078750,1112222.25,1104732.125,1003750,0,1372812.5,1058363.125,1069748.875,895000,1248660.6875,1071562.5,1042767.875,1146458.375,1050069.4375,1632544.8125,1522500,1577916.6875,2016796.875,1538125,1266250,1362678.5625,1552187.5,1788472.5,1538125,2984375,1313906.25,736562.5,1351406.25,1150625,953750,709807.6875,1070820.3125,1075000,858883.9375,1524732.125,1685000,1199062.5,1051666.6875,893750,797500,756875,1389375,738124.975,1328750,1072215.9375
