iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
MAR,0,1254.69228,1662.69228,2195.69223,2457.69228,2439.69228,3963.26328,3082.54938,2900.69223,3255.69228,5082.69228,3375.69294,2325.23076,3069.69228,2379.69228,3069.69228,2722.54938,4563.69228,2545.6923,5309.40678,5625.69228,6153.69228,6006.69228,2943.69228,6003.69228,3509.40678,3915.69228,8171.69178,2619.69228,7047.69228,5808.69228,1065.69228,3563.423055,3211.15383,3195.69228,1036.038432,3714.69228,2484.69228,2354.19228,4358.19228,8433.69228,4233.69228,4864.69278,1194.69228,2119.26918,1037.19228,2694.69228,1030.858956,3033.69228,2790.41949
ESH,1254.69228,0,1662.69228,2195.69223,2457.69228,2439.69228,3963.26328,3082.54938,2900.69223,3255.69228,5082.69228,3375.69294,2325.23076,3069.69228,2379.69228,3069.69228,2722.54938,4563.69228,2545.6923,5309.40678,5625.69228,6153.69228,6006.69228,2943.69228,6003.69228,3509.40678,3915.69228,8171.69178,2619.69228,7047.69228,5808.69228,1065.69228,3563.423055,3211.15383,3195.69228,1036.038432,3714.69228,2484.69228,2354.19228,4358.19228,8433.69228,4233.69228,4864.69278,1194.69228,2119.26918,1037.19228,2694.69228,1030.858956,3033.69228,2790.41949
MRT,2244.95007,2244.95007,0,2465.95002,3447.95007,3429.95007,4953.52107,4072.80717,3170.95002,4245.95007,6072.95007,4365.95073,3315.48855,4059.95007,3369.95007,4059.95007,3712.80717,5553.95007,3535.95009,6299.66457,6615.95007,7143.95007,6996.95007,3933.95007,6993.95007,4499.66457,4905.95007,9161.94957,3609.95007,8037.95007,6798.95007,2055.95007,4553.680845,4201.41162,4185.95007,2026.296222,4704.95007,3474.95007,3344.45007,5348.45007,9423.95007,5223.95007,5854.95057,2184.95007,3109.52697,2027.45007,3684.95007,2021.116746,4023.95007,3780.67728
SEN,2808.81825,2808.81825,2496.81825,0,2571.81825,2553.81825,5517.38925,3196.67535,3014.8182,4089.81825,5916.81825,4209.81891,3159.35673,3903.81825,3213.81825,3903.81825,3556.67535,5397.81825,3379.81827,6143.53275,6459.81825,6987.81825,6840.81825,3777.81825,6837.81825,4343.53275,4749.81825,9005.81775,3453.81825,7881.81825,6642.81825,1899.81825,4397.549025,4045.2798,4029.81825,1870.164402,4548.81825,3318.81825,3188.31825,5192.31825,9267.81825,5067.81825,5698.81875,2028.81825,2953.39515,1871.31825,3528.81825,1864.984926,3867.81825,3624.54546
GMB,3658.9995,3658.9995,4066.9995,3159.99945,0,4123.9995,6367.5705,4766.8566,4584.99945,4939.9995,6766.9995,5060.00016,4009.53798,4753.9995,4063.9995,4753.9995,4406.8566,6247.9995,4229.99952,6993.714,7309.9995,7837.9995,7690.9995,4627.9995,7687.9995,5193.714,5599.9995,9855.999,4303.9995,8731.9995,7492.9995,2749.9995,5247.730275,4895.46105,4879.9995,2720.345652,5398.9995,4168.9995,4038.4995,6042.4995,10117.9995,5917.9995,6549,2878.9995,3803.5764,2721.4995,4378.9995,2715.166176,4717.9995,4474.72671
GNB,3861,3861,4269,3361.99995,4344,0,6569.571,4248.8571,4786.99995,5142,6969,5262.00066,4211.53848,4956,4266,4956,4608.8571,6450,4432.00002,7195.7145,7512,8040,7893,4830,7890,5395.7145,5802,10057.9995,4506,8934,7695,2952,5449.730775,5097.46155,5082,2922.346152,5601,4371,4240.5,6244.5,10320,6120,6751.0005,3081,4005.5769,2923.5,4581,2917.166676,4920,4676.72721
DZA,3105.8574,3105.8574,3513.8574,4046.85735,4308.8574,4290.8574,0,4933.7145,4031.85735,5106.8574,6933.8574,5226.85806,3456.39588,4920.8574,4230.8574,4200.8574,3853.7145,6414.8574,4396.85742,7160.5719,7476.8574,8004.8574,7857.8574,4794.8574,7854.8574,5360.5719,5766.8574,10022.8569,4470.8574,8898.8574,7659.8574,2916.8574,5414.588175,5062.31895,5046.8574,2887.203552,5565.8574,4335.8574,4205.3574,6209.3574,10284.8574,6084.8574,6715.8579,3045.8574,3970.4343,2888.3574,4545.8574,2882.024076,4884.8574,4641.58461
GIN,3643.2,3643.2,4051.2,3144.19995,4126.2,3388.2,6351.771,0,3849.19995,4204.2,6031.2,4324.20066,3993.73848,4738.2,4048.2,4738.2,4391.0571,6232.2,4214.20002,6977.9145,7294.2,7822.2,7675.2,4612.2,7672.2,5177.9145,5584.2,9840.1995,4288.2,8716.2,7477.2,2734.2,5231.930775,4879.66155,4864.2,2704.546152,5383.2,4153.2,4022.7,6026.7,10102.2,5902.2,6533.2005,2863.2,3787.7769,2705.7,4363.2,2699.366676,4702.2,4458.92721
MLI,2742.3333,2742.3333,2430.3333,2243.33325,3225.3333,3207.3333,4730.9043,3130.1904,0,4023.3333,5850.3333,3423.33396,3092.87178,3117.3333,3147.3333,3117.3333,3490.1904,5331.3333,3313.33332,6077.0478,6393.3333,6921.3333,6774.3333,3711.3333,6771.3333,4277.0478,4683.3333,8939.3328,3387.3333,7815.3333,6576.3333,1833.3333,4331.064075,3978.79485,3963.3333,1803.679452,4482.3333,3252.3333,3121.8333,5125.8333,9201.3333,5001.3333,5632.3338,1962.3333,2886.9102,1804.8333,3462.3333,1798.499976,3801.3333,3558.06051
SLE,2985.8571,2985.8571,3393.8571,3206.85705,3468.8571,3450.8571,5694.4281,3373.7142,3911.85705,0,5373.8571,4386.85776,3336.39558,4080.8571,3390.8571,4080.8571,3733.7142,5574.8571,3556.85712,6320.5716,6636.8571,7164.8571,7017.8571,3954.8571,7014.8571,4520.5716,4926.8571,9182.8566,3630.8571,8058.8571,6819.8571,2076.8571,4574.587875,4222.31865,4206.8571,2047.203252,4725.8571,3495.8571,3365.3571,5369.3571,9444.8571,5244.8571,5875.8576,2205.8571,3130.434,2048.3571,3705.8571,2042.023776,4044.8571,3801.58431
