iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
MAR,0,354577.9375,751730.75,918397.4375,437668.25,611105.75,644578,757087.875,536105.75,894320.0625,1025168.25,590718.875,602104.625,427355.75,781016.4375,603918.25,575123.625,678814.125,582425.1875,1164900.5625,1054855.75,1110272.4375,1549152.625,1070480.75,798605.75,895034.3125,1084543.25,1320828.25,1070480.75,2516730.75,846262,268918.25,883762,682980.75,486105.75,242163.4375,603176.0625,607355.75,391239.6875,1057087.875,1217355.75,731418.25,584022.4375,426105.75,329855.75,289230.75,921730.75,270480.725,861105.75,604571.6875
ESH,354577.9375,0,751730.75,918397.4375,437668.25,611105.75,644578,757087.875,536105.75,894320.0625,1025168.25,590718.875,602104.625,427355.75,781016.4375,603918.25,575123.625,678814.125,582425.1875,1164900.5625,1054855.75,1110272.4375,1549152.625,1070480.75,798605.75,895034.3125,1084543.25,1320828.25,1070480.75,2516730.75,846262,268918.25,883762,682980.75,486105.75,242163.4375,603176.0625,607355.75,391239.6875,1057087.875,1217355.75,731418.25,584022.4375,426105.75,329855.75,289230.75,921730.75,270480.725,861105.75,604571.6875
MRT,740972.1875,740972.1875,0,1304791.6875,824062.5,997500,1030972.25,1143482.125,922500,1280714.3125,1411562.5,977113.125,988498.875,813750,1167410.6875,990312.5,961517.875,1065208.375,968819.4375,1551294.8125,1441250,1496666.6875,1935546.875,1456875,1185000,1281428.5625,1470937.5,1707222.5,1456875,2903125,1232656.25,655312.5,1270156.25,1069375,872500,628557.6875,989570.3125,993750,777633.9375,1443482.125,1603750,1117812.5,970416.6875,812500,716250,675625,1308125,656874.975,1247500,990965.9375
SEN,617051.75,617051.75,1014204.5625,0,700142.0625,873579.5625,907051.8125,1019561.6875,798579.5625,1156793.875,1287642.0625,853192.6875,864578.4375,689829.5625,1043490.25,866392.0625,837597.4375,941287.9375,844899,1427374.375,1317329.5625,1372746.25,1811626.4375,1332954.5625,1061079.5625,1157508.125,1347017.0625,1583302.0625,1332954.5625,2779204.5625,1108735.8125,531392.0625,1146235.8125,945454.5625,748579.5625,504637.25,865649.875,869829.5625,653713.5,1319561.6875,1479829.5625,993892.0625,846496.25,688579.5625,592329.5625,551704.5625,1184204.5625,532954.5375,1123579.5625,867045.5
GMB,536319.4375,536319.4375,933472.25,1100138.9375,0,792847.25,826319.5,938829.375,717847.25,1076061.5625,1206909.75,772460.375,783846.125,609097.25,962757.9375,785659.75,756865.125,860555.625,764166.6875,1346642.0625,1236597.25,1292013.9375,1730894.125,1252222.25,980347.25,1076775.8125,1266284.75,1502569.75,1252222.25,2698472.25,1028003.5,450659.75,1065503.5,864722.25,667847.25,423904.9375,784917.5625,789097.25,572981.1875,1238829.375,1399097.25,913159.75,765763.9375,607847.25,511597.25,470972.25,1103472.25,452222.225,1042847.25,786313.1875
GNB,680972.1875,680972.1875,1078125,1244791.6875,764062.5,0,970972.25,1083482.125,862500,1220714.3125,1351562.5,917113.125,928498.875,753750,1107410.6875,930312.5,901517.875,1005208.375,908819.4375,1491294.8125,1381250,1436666.6875,1875546.875,1396875,1125000,1221428.5625,1410937.5,1647222.5,1396875,2843125,1172656.25,595312.5,1210156.25,1009375,812500,568557.6875,929570.3125,933750,717633.9375,1383482.125,1543750,1057812.5,910416.6875,752500,656250,615625,1248125,596874.975,1187500,930965.9375
DZA,819930.5,819930.5,1217083.3125,1383750,903020.8125,1076458.3125,0,1222440.4375,1001458.3125,1359672.625,1490520.8125,1056071.4375,1067457.1875,892708.3125,1246369,1069270.8125,1040476.1875,1144166.6875,1047777.75,1630253.125,1520208.3125,1575625,2014505.1875,1535833.3125,1263958.3125,1360386.875,1549895.8125,1786180.8125,1535833.3125,2982083.3125,1311614.5625,734270.8125,1349114.5625,1148333.3125,951458.3125,707516,1068528.625,1072708.3125,856592.25,1522440.4375,1682708.3125,1196770.8125,1049375,891458.3125,795208.3125,754583.3125,1387083.3125,735833.2875,1326458.3125,1069924.25
GIN,781708.3125,781708.3125,1178861.125,1345527.8125,864798.625,1038236.125,1071708.375,0,963236.125,1321450.4375,1452298.625,1017849.25,1029235,854486.125,1208146.8125,1031048.625,1002254,1105944.5,1009555.5625,1592030.9375,1481986.125,1537402.8125,1976283,1497611.125,1225736.125,1322164.6875,1511673.625,1747958.625,1497611.125,2943861.125,1273392.375,696048.625,1310892.375,1110111.125,913236.125,669293.8125,1030306.4375,1034486.125,818370.0625,1484218.25,1644486.125,1158548.625,1011152.8125,853236.125,756986.125,716361.125,1348861.125,697611.1,1288236.125,1031702.0625
MLI,387222.20625,387222.20625,784375.01875,951041.70625,470312.51875,643750.01875,677222.26875,789732.14375,0,926964.33125,1057812.51875,623363.14375,634748.89375,460000.01875,813660.70625,636562.51875,607767.89375,711458.39375,615069.45625,1197544.83125,1087500.01875,1142916.70625,1581796.89375,1103125.01875,831250.01875,927678.58125,1117187.51875,1353472.51875,1103125.01875,2549375.01875,878906.26875,301562.51875,916406.26875,715625.01875,518750.01875,274807.70625,635820.33125,640000.01875,423883.95625,1089732.14375,1250000.01875,764062.51875,616666.70625,458750.01875,362500.01875,321875.01875,954375.01875,303124.99375,893750.01875,637215.95625
SLE,702222.1875,702222.1875,1099375,1266041.6875,785312.5,958750,992222.25,1104732.125,883750,0,1372812.5,938363.125,949748.875,775000,1128660.6875,951562.5,922767.875,1026458.375,930069.4375,1512544.8125,1402500,1457916.6875,1896796.875,1418125,1146250,1242678.5625,1432187.5,1668472.5,1418125,2864375,1193906.25,616562.5,1231406.25,1030625,833750,589807.6875,950820.3125,955000,738883.9375,1404732.125,1565000,1079062.5,931666.6875,773750,677500,636875,1269375,618124.975,1208750,952215.9375
