iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
MAR,0,1254.69228,1662.69228,1475.69223,1737.69228,1719.69228,3963.26328,2362.54938,2180.69223,2535.69228,4362.69228,2655.69294,1605.23076,2349.69228,1659.69228,2349.69228,2002.54938,3843.69228,1825.6923,4589.40678,4905.69228,5433.69228,5286.69228,2223.69228,5283.69228,2789.40678,3195.69228,7451.69178,1899.69228,6327.69228,5088.69228,345.69228,2843.423055,2491.15383,2475.69228,316.038432,2994.69228,1764.69228,1634.19228,3638.19228,7713.69228,3513.69228,4144.69278,474.69228,1399.26918,317.19228,1974.69228,310.858956,2313.69228,2070.41949
ESH,1254.69228,0,1662.69228,1475.69223,1737.69228,1719.69228,3963.26328,2362.54938,2180.69223,2535.69228,4362.69228,2655.69294,1605.23076,2349.69228,1659.69228,2349.69228,2002.54938,3843.69228,1825.6923,4589.40678,4905.69228,5433.69228,5286.69228,2223.69228,5283.69228,2789.40678,3195.69228,7451.69178,1899.69228,6327.69228,5088.69228,345.69228,2843.423055,2491.15383,2475.69228,316.038432,2994.69228,1764.69228,1634.19228,3638.19228,7713.69228,3513.69228,4144.69278,474.69228,1399.26918,317.19228,1974.69228,310.858956,2313.69228,2070.41949
MRT,2244.95007,2244.95007,0,2465.95002,2727.95007,2709.95007,4953.52107,3352.80717,3170.95002,3525.95007,5352.95007,3645.95073,2595.48855,3339.95007,2649.95007,3339.95007,2992.80717,4833.95007,2815.95009,5579.66457,5895.95007,6423.95007,6276.95007,3213.95007,6273.95007,3779.66457,4185.95007,8441.94957,2889.95007,7317.95007,6078.95007,1335.95007,3833.680845,3481.41162,3465.95007,1306.296222,3984.95007,2754.95007,2624.45007,4628.45007,8703.95007,4503.95007,5134.95057,1464.95007,2389.52697,1307.45007,2964.95007,1301.116746,3303.95007,3060.67728
SEN,2088.81825,2088.81825,2496.81825,0,2571.81825,2553.81825,4797.38925,3196.67535,3014.8182,3369.81825,5196.81825,3489.81891,2439.35673,3183.81825,2493.81825,3183.81825,2836.67535,4677.81825,2659.81827,5423.53275,5739.81825,6267.81825,6120.81825,3057.81825,6117.81825,3623.53275,4029.81825,8285.81775,2733.81825,7161.81825,5922.81825,1179.81825,3677.549025,3325.2798,3309.81825,1150.164402,3828.81825,2598.81825,2468.31825,4472.31825,8547.81825,4347.81825,4978.81875,1308.81825,2233.39515,1151.31825,2808.81825,1144.984926,3147.81825,2904.54546
GMB,2938.9995,2938.9995,3346.9995,3159.99945,0,3403.9995,5647.5705,4046.8566,3864.99945,4219.9995,6046.9995,4340.00016,3289.53798,4033.9995,3343.9995,4033.9995,3686.8566,5527.9995,3509.99952,6273.714,6589.9995,7117.9995,6970.9995,3907.9995,6967.9995,4473.714,4879.9995,9135.999,3583.9995,8011.9995,6772.9995,2029.9995,4527.730275,4175.46105,4159.9995,2000.345652,4678.9995,3448.9995,3318.4995,5322.4995,9397.9995,5197.9995,5829,2158.9995,3083.5764,2001.4995,3658.9995,1995.166176,3997.9995,3754.72671
GNB,3141,3141,3549,3361.99995,3624,0,5849.571,4248.8571,4066.99995,4422,6249,4542.00066,3491.53848,4236,3546,4236,3888.8571,5730,3712.00002,6475.7145,6792,7320,7173,4110,7170,4675.7145,5082,9337.9995,3786,8214,6975,2232,4729.730775,4377.46155,4362,2202.346152,4881,3651,3520.5,5524.5,9600,5400,6031.0005,2361,3285.5769,2203.5,3861,2197.166676,4200,3956.72721
DZA,3105.8574,3105.8574,3513.8574,3326.85735,3588.8574,3570.8574,0,4213.7145,4031.85735,4386.8574,6213.8574,4506.85806,3456.39588,4200.8574,3510.8574,4200.8574,3853.7145,5694.8574,3676.85742,6440.5719,6756.8574,7284.8574,7137.8574,4074.8574,7134.8574,4640.5719,5046.8574,9302.8569,3750.8574,8178.8574,6939.8574,2196.8574,4694.588175,4342.31895,4326.8574,2167.203552,4845.8574,3615.8574,3485.3574,5489.3574,9564.8574,5364.8574,5995.8579,2325.8574,3250.4343,2168.3574,3825.8574,2162.024076,4164.8574,3921.58461
GIN,2923.2,2923.2,3331.2,3144.19995,3406.2,3388.2,5631.771,0,3849.19995,4204.2,6031.2,4324.20066,3273.73848,4018.2,3328.2,4018.2,3671.0571,5512.2,3494.20002,6257.9145,6574.2,7102.2,6955.2,3892.2,6952.2,4457.9145,4864.2,9120.1995,3568.2,7996.2,6757.2,2014.2,4511.930775,4159.66155,4144.2,1984.546152,4663.2,3433.2,3302.7,5306.7,9382.2,5182.2,5813.2005,2143.2,3067.7769,1985.7,3643.2,1979.366676,3982.2,3738.92721
MLI,2022.3333,2022.3333,2430.3333,2243.33325,2505.3333,2487.3333,4730.9043,3130.1904,0,3303.3333,5130.3333,3423.33396,2372.87178,3117.3333,2427.3333,3117.3333,2770.1904,4611.3333,2593.33332,5357.0478,5673.3333,6201.3333,6054.3333,2991.3333,6051.3333,3557.0478,3963.3333,8219.3328,2667.3333,7095.3333,5856.3333,1113.3333,3611.064075,3258.79485,3243.3333,1083.679452,3762.3333,2532.3333,2401.8333,4405.8333,8481.3333,4281.3333,4912.3338,1242.3333,2166.9102,1084.8333,2742.3333,1078.499976,3081.3333,2838.06051
SLE,2265.8571,2265.8571,2673.8571,2486.85705,2748.8571,2730.8571,4974.4281,3373.7142,3191.85705,0,5373.8571,3666.85776,2616.39558,3360.8571,2670.8571,3360.8571,3013.7142,4854.8571,2836.85712,5600.5716,5916.8571,6444.8571,6297.8571,3234.8571,6294.8571,3800.5716,4206.8571,8462.8566,2910.8571,7338.8571,6099.8571,1356.8571,3854.587875,3502.31865,3486.8571,1327.203252,4005.8571,2775.8571,2645.3571,4649.3571,8724.8571,4524.8571,5155.8576,1485.8571,2410.434,1328.3571,2985.8571,1322.023776,3324.8571,3081.58431
