iso3_o,iso3_d,contig
AGO,AGO,0
AGO,BDI,0
AGO,BEN,0
AGO,BFA,0
AGO,BWA,0
AGO,CAF,0
AGO,CIV,0
AGO,CMR,0
AGO,COD,1
AGO,COG,1
AGO,DJI,0
AGO,DZA,0
AGO,EGY,0
AGO,ERI,0
AGO,ESH,0
AGO,ETH,0
AGO,GAB,0
AGO,GHA,0
AGO,GIN,0
AGO,GMB,0
AGO,GNB,0
AGO,GNQ,0
AGO,KEN,0
AGO,LBR,0
AGO,LBY,0
AGO,LSO,0
AGO,MAR,0
AGO,MDG,0
AGO,MLI,0
AGO,MOZ,0
AGO,MRT,0
AGO,MWI,0
AGO,NAM,1
AGO,NER,0
AGO,NGA,0
AGO,RWA,0
AGO,SDN,0
AGO,SEN,0
AGO,SLE,0
AGO,SOM,0
AGO,SSD,0
AGO,SWZ,0
AGO,TCD,0
AGO,TGO,0
AGO,TUN,0
AGO,TZA,0
AGO,UGA,0
AGO,ZAF,0
AGO,ZMB,1
AGO,ZWE,0
BDI,AGO,0
BDI,BDI,0
BDI,BEN,0
BDI,BFA,0
BDI,BWA,0
BDI,CAF,0
BDI,CIV,0
BDI,CMR,0
BDI,COD,1
BDI,COG,0
BDI,DJI,0
BDI,DZA,0
BDI,EGY,0
BDI,ERI,0
BDI,ESH,0
BDI,ETH,0
BDI,GAB,0
BDI,GHA,0
BDI,GIN,0
BDI,GMB,0
BDI,GNB,0
BDI,GNQ,0
BDI,KEN,0
BDI,LBR,0
BDI,LBY,0
BDI,LSO,0
BDI,MAR,0
BDI,MDG,0
BDI,MLI,0
BDI,MOZ,0
BDI,MRT,0
BDI,MWI,0
BDI,NAM,0
BDI,NER,0
BDI,NGA,0
BDI,RWA,1
BDI,SDN,0
BDI,SEN,0
BDI,SLE,0
BDI,SOM,0
BDI,SSD,0
BDI,SWZ,0
BDI,TCD,0
BDI,TGO,0
BDI,TUN,0
BDI,TZA,1
BDI,UGA,0
BDI,ZAF,0
BDI,ZMB,0
BDI,ZWE,0
BEN,AGO,0
BEN,BDI,0
BEN,BEN,0
BEN,BFA,1
BEN,BWA,0
BEN,CAF,0
BEN,CIV,0
BEN,CMR,0
BEN,COD,0
BEN,COG,0
BEN,DJI,0
BEN,DZA,0
BEN,EGY,0
BEN,ERI,0
BEN,ESH,0
BEN,ETH,0
BEN,GAB,0
BEN,GHA,0
BEN,GIN,0
BEN,GMB,0
BEN,GNB,0
BEN,GNQ,0
BEN,KEN,0
BEN,LBR,0
BEN,LBY,0
BEN,LSO,0
BEN,MAR,0
BEN,MDG,0
BEN,MLI,0
BEN,MOZ,0
BEN,MRT,0
BEN,MWI,0
BEN,NAM,0
BEN,NER,1
BEN,NGA,1
BEN,RWA,0
BEN,SDN,0
BEN,SEN,0
BEN,SLE,0
BEN,SOM,0
BEN,SSD,0
BEN,SWZ,0
BEN,TCD,0
BEN,TGO,1
BEN,TUN,0
BEN,TZA,0
BEN,UGA,0
BEN,ZAF,0
BEN,ZMB,0
BEN,ZWE,0
BFA,AGO,0
BFA,BDI,0
BFA,BEN,1
BFA,BFA,0
BFA,BWA,0
BFA,CAF,0
BFA,CIV,1
BFA,CMR,0
BFA,COD,0
BFA,COG,0
BFA,DJI,0
BFA,DZA,0
BFA,EGY,0
BFA,ERI,0
BFA,ESH,0
BFA,ETH,0
BFA,GAB,0
BFA,GHA,1
BFA,GIN,0
BFA,GMB,0
BFA,GNB,0
BFA,GNQ,0
BFA,KEN,0
BFA,LBR,0
BFA,LBY,0
BFA,LSO,0
BFA,MAR,0
BFA,MDG,0
BFA,MLI,1
BFA,MOZ,0
BFA,MRT,0
BFA,MWI,0
BFA,NAM,0
BFA,NER,1
BFA,NGA,0
BFA,RWA,0
BFA,SDN,0
BFA,SEN,0
BFA,SLE,0
BFA,SOM,0
BFA,SSD,0
BFA,SWZ,0
BFA,TCD,0
BFA,TGO,1
BFA,TUN,0
BFA,TZA,0
BFA,UGA,0
BFA,ZAF,0
BFA,ZMB,0
BFA,ZWE,0
BWA,AGO,0
BWA,BDI,0
BWA,BEN,0
BWA,BFA,0
BWA,BWA,0
BWA,CAF,0
BWA,CIV,0
BWA,CMR,0
BWA,COD,0
BWA,COG,0
BWA,DJI,0
BWA,DZA,0
BWA,EGY,0
BWA,ERI,0
BWA,ESH,0
BWA,ETH,0
BWA,GAB,0
BWA,GHA,0
BWA,GIN,0
BWA,GMB,0
BWA,GNB,0
BWA,GNQ,0
BWA,KEN,0
BWA,LBR,0
BWA,LBY,0
BWA,LSO,0
BWA,MAR,0
BWA,MDG,0
BWA,MLI,0
BWA,MOZ,0
BWA,MRT,0
BWA,MWI,0
BWA,NAM,1
BWA,NER,0
BWA,NGA,0
BWA,RWA,0
BWA,SDN,0
BWA,SEN,0
BWA,SLE,0
BWA,SOM,0
BWA,SSD,0
BWA,SWZ,0
BWA,TCD,0
BWA,TGO,0
BWA,TUN,0
BWA,TZA,0
BWA,UGA,0
BWA,ZAF,1
BWA,ZMB,1
BWA,ZWE,1
CAF,AGO,0
CAF,BDI,0
CAF,BEN,0
CAF,BFA,0
CAF,BWA,0
CAF,CAF,0
CAF,CIV,0
CAF,CMR,1
CAF,COD,1
CAF,COG,1
CAF,DJI,0
CAF,DZA,0
CAF,EGY,0
CAF,ERI,0
CAF,ESH,0
CAF,ETH,0
CAF,GAB,0
CAF,GHA,0
CAF,GIN,0
CAF,GMB,0
CAF,GNB,0
CAF,GNQ,0
CAF,KEN,0
CAF,LBR,0
CAF,LBY,0
CAF,LSO,0
CAF,MAR,0
CAF,MDG,0
CAF,MLI,0
CAF,MOZ,0
CAF,MRT,0
CAF,MWI,0
CAF,NAM,0
CAF,NER,0
CAF,NGA,0
CAF,RWA,0
CAF,SDN,1
CAF,SEN,0
CAF,SLE,0
CAF,SOM,0
CAF,SSD,1
CAF,SWZ,0
CAF,TCD,1
CAF,TGO,0
CAF,TUN,0
CAF,TZA,0
CAF,UGA,0
CAF,ZAF,0
CAF,ZMB,0
CAF,ZWE,0
CIV,AGO,0
CIV,BDI,0
CIV,BEN,0
CIV,BFA,1
CIV,BWA,0
CIV,CAF,0
CIV,CIV,0
CIV,CMR,0
CIV,COD,0
CIV,COG,0
CIV,DJI,0
CIV,DZA,0
CIV,EGY,0
CIV,ERI,0
CIV,ESH,0
CIV,ETH,0
CIV,GAB,0
CIV,GHA,1
CIV,GIN,1
CIV,GMB,0
CIV,GNB,0
CIV,GNQ,0
CIV,KEN,0
CIV,LBR,1
CIV,LBY,0
CIV,LSO,0
CIV,MAR,0
CIV,MDG,0
CIV,MLI,1
CIV,MOZ,0
CIV,MRT,0
CIV,MWI,0
CIV,NAM,0
CIV,NER,0
CIV,NGA,0
CIV,RWA,0
CIV,SDN,0
CIV,SEN,0
CIV,SLE,0
CIV,SOM,0
CIV,SSD,0
CIV,SWZ,0
CIV,TCD,0
CIV,TGO,0
CIV,TUN,0
CIV,TZA,0
CIV,UGA,0
CIV,ZAF,0
CIV,ZMB,0
CIV,ZWE,0
CMR,AGO,0
CMR,BDI,0
CMR,BEN,0
CMR,BFA,0
CMR,BWA,0
CMR,CAF,1
CMR,CIV,0
CMR,CMR,0
CMR,COD,0
CMR,COG,1
CMR,DJI,0
CMR,DZA,0
CMR,EGY,0
CMR,ERI,0
CMR,ESH,0
CMR,ETH,0
CMR,GAB,1
CMR,GHA,0
CMR,GIN,0
CMR,GMB,0
CMR,GNB,0
CMR,GNQ,1
CMR,KEN,0
CMR,LBR,0
CMR,LBY,0
CMR,LSO,0
CMR,MAR,0
CMR,MDG,0
CMR,MLI,0
CMR,MOZ,0
CMR,MRT,0
CMR,MWI,0
CMR,NAM,0
CMR,NER,0
CMR,NGA,1
CMR,RWA,0
CMR,SDN,0
CMR,SEN,0
CMR,SLE,0
CMR,SOM,0
CMR,SSD,0
CMR,SWZ,0
CMR,TCD,1
CMR,TGO,0
CMR,TUN,0
CMR,TZA,0
CMR,UGA,0
CMR,ZAF,0
CMR,ZMB,0
CMR,ZWE,0
COD,AGO,1
COD,BDI,1
COD,BEN,0
COD,BFA,0
COD,BWA,0
COD,CAF,1
COD,CIV,0
COD,CMR,0
COD,COD,0
COD,COG,1
COD,DJI,0
COD,DZA,0
COD,EGY,0
