city,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id,pop_cap,port_locode,port_name,port_status,outflows,city_country
Cairo,Cairo,30.0444,31.2358,Egypt,EG,EGY,Al Qāhirah,primary,28621082,1818253931,1.2685e+10,,,,,Cairo - Egypt
Lagos,Lagos,6.455,3.3841,Nigeria,NG,NGA,Lagos,minor,19932062,1566593751,2079625000,NGAPP,Apapa,QQ,3749556.40084,Lagos - Nigeria
Kinshasa,Kinshasa,-4.3219,15.3119,Congo (Kinshasa),CD,COD,Kinshasa,primary,16579488,1180000363,8022500000,,,,,Kinshasa - Congo (Kinshasa)
Luanda,Luanda,-8.8383,13.2344,Angola,AO,AGO,Luanda,primary,12376210,1024949724,5656875000,AOLAD,Luanda,AI,2439604.51885,Luanda - Angola
Johannesburg,Johannesburg,-26.2044,28.0456,South Africa,ZA,ZAF,Gauteng,admin,12282763,1710550792,212500000,,,,,Johannesburg - South Africa
Dar es Salaam,Dar es Salaam,-6.8161,39.2803,Tanzania,TZ,TZA,Dar es Salaam,admin,9048912,1834843853,199050000,TZDAR,Dar es Salaam,AI,1404403.56744,Dar es Salaam - Tanzania
Khartoum,Khartoum,15.6,32.5,Sudan,SD,SDN,Khartoum,primary,11610745,1729268475,4918125000,,,,,Khartoum - Sudan
Douala,Douala,4.05,9.7,Cameroon,CM,CMR,Littoral,admin,5768400,1120494607,144210000,CMDLA,Douala,AI,1089387.80006,Douala - Cameroon
Nairobi,Nairobi,-1.2864,36.8172,Kenya,KE,KEN,Nairobi City,primary,6527382,1404000661,3465625000,,,,,Nairobi - Kenya
Abidjan,Abidjan,5.3167,-4.0333,Côte d’Ivoire,CI,CIV,Abidjan,primary,9022419,1384207980,3112500000,CIABJ,Abidjan,AI,3248845.43344,Abidjan - Cote d'Ivoire
Alexandria,Alexandria,31.1975,29.8925,Egypt,EG,EGY,Al Iskandarīyah,admin,5470745,1818695837,121750000,EGALY,El Iskandariya (Alexandria),AI,6655135.04979,Alexandria - Egypt
Cape Town,Cape Town,-33.9253,18.4239,South Africa,ZA,ZAF,Western Cape,primary,5638695,1710680650,2981445625,ZACPT,Cape Town,AF,4902763.6243,Cape Town - South Africa
Bamako,Bamako,12.6392,-8.0028,Mali,ML,MLI,Bamako,primary,4552105,1466965925,2642230625,,,,,Bamako - Mali
Abuja,Abuja,9.0667,7.4833,Nigeria,NG,NGA,Federal Capital Territory,primary,3770000,1566342270,2356250000,,,,,Abuja - Nigeria
Ibadan,Ibadan,7.3964,3.9167,Nigeria,NG,NGA,Oyo,admin,3552000,1566366407,88800000,,,,,Ibadan - Nigeria
Casablanca,Casablanca,33.5333,-7.5833,Morocco,MA,MAR,Casablanca-Settat,admin,4219891,1504175315,87475000,MACAS,Casablanca,AI,2434027.9715,Casablanca - Morocco
Kumasi,Kumasi,6.7,-1.625,Ghana,GH,GHA,Ashanti,admin,6898949,1288181103,87250750,,,,,Kumasi - Ghana
Algiers,Algiers,36.7539,3.0589,Algeria,DZ,DZA,Alger,primary,5061734,1012973369,2134881875,DZALG,Alger (Algiers),AI,835952.4,Algiers - Algeria
Addis Ababa,Addis Ababa,9.03,38.74,Ethiopia,ET,ETH,Ādīs Ābeba,primary,3115926,1231824991,1900626250,,,,,Addis Ababa - Ethiopia
Mbuji-Mayi,Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),CD,COD,Kasaï Oriental,admin,2976651,1180399586,72300000,,,,,Mbuji-Mayi - Congo (Kinshasa)
Mogadishu,Mogadishu,2.0392,45.3419,Somalia,SO,SOM,Banaadir,primary,2689883,1706893395,1631551875,SOMGQ,Mogadishu,AI,437501.99998,Mogadishu - Somalia
Lusaka,Lusaka,-15.4167,28.2833,Zambia,ZM,ZMB,Lusaka,primary,2467563,1894157390,1542226875,,,,,Lusaka - Zambia
Ouagadougou,Ouagadougou,12.3686,-1.5275,Burkina Faso,BF,BFA,Centre,primary,2497171,1854029208,1533435000,,,,,Ouagadougou - Burkina Faso
Yaoundé,Yaounde,3.8667,11.5167,Cameroon,CM,CMR,Centre,primary,2440462,1120298240,1525288750,,,,,Yaounde - Cameroon
Accra,Accra,5.55,-0.2,Ghana,GH,GHA,Greater Accra,primary,3048022,1288299415,1492500000,GHTEM,Tema,QQ,7407893.36449,Accra - Ghana
Harare,Harare,-17.8292,31.0522,Zimbabwe,ZW,ZWE,Harare,primary,2543282,1716196799,1343750000,,,,,Harare - Zimbabwe
Kano,Kano,12,8.5167,Nigeria,NG,NGA,Kano,admin,2095000,1566422868,52375000,,,,,Kano - Nigeria
Bamenda,Bamenda,5.9614,10.1517,Cameroon,CM,CMR,North-West,admin,2130468,1120909610,5e+07,,,,,Bamenda - Cameroon
Kananga,Kananga,-5.897,22.4488,Congo (Kinshasa),CD,COD,Kasaï Central,admin,1971704,1180172460,49292600,,,,,Kananga - Congo (Kinshasa)
Blantyre,Blantyre,-15.7861,35.0058,Malawi,MW,MWI,Blantyre,admin,1897553,1454145012,47399325,,,,,Blantyre - Malawi
Lubumbashi,Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),CD,COD,Haut-Katanga,admin,1919258,1180506234,44659925,,,,,Lubumbashi - Congo (Kinshasa)
Kampala,Kampala,0.3136,32.5811,Uganda,UG,UGA,Kampala,primary,2924766,1800406299,1050375000,,,,,Kampala - Uganda
Conakry,Conakry,9.5092,-13.7122,Guinea,GN,GIN,Conakry,primary,1667864,1324568159,1042415000,GNCKY,Conakry,AI,676607.90476,Conakry - Guinea
Masvingo,Masvingo,-20.0744,30.8328,Zimbabwe,ZW,ZWE,Masvingo,admin,1638528,1716049475,40963200,,,,,Masvingo - Zimbabwe
Balandougou,Balandougou,13.3558,-9.5517,Mali,ML,MLI,Kayes,"",1631251,1466367944,7984410,,,,,Balandougou - Mali
Kigali,Kigali,-1.9439,30.0594,Rwanda,RW,RWA,Kigali,primary,1620470,1646923541,949145000,,,,,Kigali - Rwanda
Katako-Kombe,Katako-Kombe,-3.4,24.42,Congo (Kinshasa),CD,COD,Sankuru,"",1488922,1180033898,7444610,,,,,Katako-Kombe - Congo (Kinshasa)
Onitsha,Onitsha,6.1667,6.7833,Nigeria,NG,NGA,Anambra,minor,3633207,1566593483,185375000,,,,,Onitsha - Nigeria
Kismaayo,Kismaayo,-0.3581,42.5453,Somalia,SO,SOM,Jubbada Hoose,admin,1458000,1706091701,36450000,SOKMU,Kismayu,AI,188773,Kismaayo - Somalia
Dakar,Dakar,14.6928,-17.4467,Senegal,SN,SEN,Dakar,primary,3223755,1686604760,899203125,SNDKR,Dakar,AI,2417263.262,Dakar - Senegal
Mombasa,Mombasa,-4.05,39.6667,Kenya,KE,KEN,Mombasa,admin,1296082,1404512373,30208325,KEMBA,Mombasa,AI,2290456.63883,Mombasa - Kenya
Hargeysa,Hargeysa,9.5631,44.0675,Somalia,SO,SOM,Woqooyi Galbeed,admin,1200000,1706832021,3e+07,,,,,Hargeysa - Somalia
Baidoa,Baidoa,3.1167,43.65,Somalia,SO,SOM,Bay,admin,1200000,1706563100,3e+07,,,,,Baidoa - Somalia
Maiduguri,Maiduguri,11.8333,13.15,Nigeria,NG,NGA,Borno,admin,1197497,1566540296,29937425,,,,,Maiduguri - Nigeria
Mbandaka,Mbandaka,0.0478,18.2558,Congo (Kinshasa),CD,COD,Équateur,admin,1187837,1180720887,29695925,,,,,Mbandaka - Congo (Kinshasa)
Tripoli,Tripoli,32.8872,13.1914,Libya,LY,LBY,Ţarābulus,primary,1319909,1434201852,739375000,LYTIP,Tripoli,AI,281045,Tripoli - Libya
Aba,Aba,5.1167,7.3667,Nigeria,NG,NGA,Abia,minor,1379632,1566262000,1.45e+08,,,,,Aba - Nigeria
Bujumbura,Bujumbura,-3.3833,29.3667,Burundi,BI,BDI,Bujumbura Mairie,primary,1750360,1108101689,714501250,,,,,Bujumbura - Burundi
Maputo,Maputo,-25.9667,32.5833,Mozambique,MZ,MOZ,Maputo,primary,2190397,1508074843,708250000,MZMPM,Maputo,AI,871116.20005,Maputo - Mozambique
Bukavu,Bukavu,-2.5,28.8667,Congo (Kinshasa),CD,COD,Sud-Kivu,admin,1189226,1180475821,28325000,,,,,Bukavu - Congo (Kinshasa)
Fès,Fes,34.0433,-5.0033,Morocco,MA,MAR,Fès-Meknès,admin,1380105,1504861997,27801800,,,,,Fes - Morocco
Mwanza,Mwanza,-2.5167,32.9,Tanzania,TZ,TZA,Mwanza,admin,1104521,1834011288,27613025,,,,,Mwanza - Tanzania
Ikare,Ikare,7.5167,5.75,Nigeria,NG,NGA,Ondo,minor,1099931,1566683694,137491375,,,,,Ikare - Nigeria
Tamale,Tamale,9.4075,-0.8533,Ghana,GH,GHA,Northern,admin,1146388,1288890688,27395200,,,,,Tamale - Ghana
N’Djamena,N'Djamena,12.11,15.05,Chad,TD,TCD,N’Djamena,primary,1193312,1148708596,682541250,,,,,N'Djamena - Chad
Nouakchott,Nouakchott,18.0858,-15.9785,Mauritania,MR,MRT,Nouakchott Ouest,primary,1440712,1478414984,673230625,MRNKC,Nouakchott,AI,334524,Nouakchott - Mauritania
Kisangani,Kisangani,0.5167,25.2,Congo (Kinshasa),CD,COD,Tshopo,admin,1040000,1180478201,2.6e+07,,,,,Kisangani - Congo (Kinshasa)
Ogbomoso,Ogbomoso,8.1333,4.25,Nigeria,NG,NGA,Oyo,minor,1032000,1566373448,1.29e+08,,,,,Ogbomoso - Nigeria
Niamey,Niamey,13.515,2.1175,Niger,NE,NER,Niamey,primary,1026848,1562932886,641780000,,,,,Niamey - Niger
Monrovia,Monrovia,6.3133,-10.8014,Liberia,LR,LBR,Montserrado,primary,1110250,1430477826,638601250,LRMLW,Monrovia,AI,467272.00002,Monrovia - Liberia
Domaa-Ahenkro,Domaa-Ahenkro,7.2833,-2.8833,Ghana,GH,GHA,Bono,"",1e+06,1288459533,5e+06,,,,,Domaa-Ahenkro - Ghana
Lilongwe,Lilongwe,-13.9833,33.7833,Malawi,MW,MWI,Lilongwe,primary,989318,1454688499,618323750,,,,,Lilongwe - Malawi
Al Mijlad,Al Mijlad,11.0339,27.74,Sudan,SD,SDN,West Kordofan,"",985000,1729768355,4925000,,,,,Al Mijlad - Sudan
Gqeberha,Gqeberha,-33.9581,25.6,South Africa,ZA,ZAF,Eastern Cape,"",1305561,1710918997,4838385,ZAZBA,Coega,RL,6024889.12892,Gqeberha - South Africa
