from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km_adj,cost_km_adj,upgrade_cat,ug_cost_km
1,SEN,2,SEN,43272.2243477175,65988,46.15,85.7915492957747,100,39.5928,0,0,46.15,39.5928,25203.64453125,670689.375,2262.98018567153,699437.03984463,699437.03984463,Asphalt Mix Resurfacing,165533.432763229
2,SEN,3,SEN,63043.014111003,87290.5,72.25,72.4903806228374,100,52.3743,0,0,72.25,52.3743,23656.89453125,191412.109375,450.215041684999,605210.402861108,605210.402861108,Mixed Works,325804.933540229
2,SEN,4,SEN,62786.5555411679,89469.5,61.1,87.8587561374796,100,53.6817,0,0,61.1,53.6817,25761.240234375,177027.859375,415.05773904307,607229.583274893,607229.583274893,Asphalt Mix Resurfacing,143711.001375058
2,SEN,5,SEN,78226.0862234277,99998,72.9,82.3028806584362,100,59.9988,0,0,72.9,59.9988,24773.337890625,137874.578125,262.06639762311,581289.600440025,581289.600440025,Asphalt Mix Resurfacing,137571.872104139
6,MRT,7,MRT,42220.6402036298,45910,37.65,73.1633466135458,100,27.546,0,0,37.65,27.546,22673.9140625,93855.421875,323.114517113213,653512.346178614,653512.346178614,Mixed Works,351807.47969282
7,MRT,8,MRT,369244.630524328,432345,329.9,78.6320096999091,100,259.407,0,0,329.9,259.407,8981.859375,639115.5,234.617003591284,509859.324930481,509859.324930481,Mixed Works,274474.269920908
7,MRT,9,ESH,314805.00971991,343596,267.1,77.1836765256458,100,206.1576,746351.46875,1953.821175,2220.921175,2159.978775,8378.404296875,3484.48583984375,1.53265511349134,343947.514304062,343947.514304062,Mixed Works,214053.242206752
3,SEN,4,SEN,43802.3684790386,61111.5,72.9,50.2975308641975,100,36.6669,0,0,72.9,36.6669,11331.97265625,65316.0390625,216.051189787737,520634.92716605,520634.92716605,Upgrade,440804.238333923
3,SEN,10,SEN,71956.9618679209,73391,61.2,71.9519607843137,100,44.0346,0,0,61.2,44.0346,1745.888671875,102835.90625,212.946379306802,415457.648524352,415457.648524352,Mixed Works,223654.700788942
11,GMB,12,SEN,82015.6810081612,120604.5,103.9,69.6464870067373,100,72.3627,900140.5,2865.90885,2969.80885,2938.27155,27926.603515625,65820.7890625,119.46834816771,551829.90030724,551829.90030724,Mixed Works,297068.429665397
