from,to,add,gravity_rd,distance,duration,duration_imp,border_dist,border_time,total_time,cost_per_km,total_cost
1,2,0,157.522826532098,65988,46.15,39.5928,0,0,46.15,165533.432763229,10923220.16118
8,9,0,17.8358342452276,313979.5,254.5,188.3877,354577.9375,1254.69228,1509.19228,271039.549896426,85100862.3567049
12,13,0,8.50068934135928,87814,82.15,52.6884,0,0,82.15,310891.644542143,27300638.8738237
13,14,0,10.7149534878732,133228,116.4,79.9368,0,0,116.4,274960.242463544,36632403.182933
12,15,0,3.81274084456477,90895,91.7,54.537,0,0,91.7,465925.111398882,42350263.0006014
15,16,0,41.2438203598992,167567.5,161.1,100.5405,0,0,161.1,299174.881902869,50131987.023259
16,17,0,403.573245027922,116749,83.75,70.0494,0,0,83.75,146524.520097305,17106591.1968403
10,18,0,222.063429687399,93252,66.6,55.9512,0,0,66.6,194213.946955775,18110838.9815199
6,20,0,63.8881073432384,234803.5,171.25,140.8821,0,0,171.25,180556.475158965,42395292.314988
20,21,0,38.4932302955194,82378.5,59.05,49.4271,0,0,59.05,136137.78109061,11214826.1995728
21,22,0,22.0450554251194,114916,81.35,68.9496,0,0,81.35,100350.467464677,11531874.3191708
22,23,0,17.0350852531719,202532,178.4,121.5192,536718.759375,3337.916625,3516.316625,258824.84443711,52420313.3935368
24,25,0,415.247728076262,59586,43.25,35.7516,0,0,43.25,140262.363778957,8357673.20813293
6,26,0,411.232997562783,161441,116.8,96.8646,0,0,116.8,179829.101044826,29031789.9017778
26,27,0,442.198970451893,209954.5,148.8,125.9727,0,0,148.8,139216.041029745,29229034.2863796
27,28,0,367.754681427147,105214.5,74.65,63.1287,536718.759375,3337.916625,3412.566625,141679.646456918,14906753.1621414
28,29,0,81.6496396042955,65656,76.1,39.3936,0,0,76.1,494073.525045229,32438891.3603696
30,31,0,102.827186878234,115971,83.05,69.5826,0,0,83.05,106074.114312705,12301521.1109587
31,32,0,100.051865289745,81151.5,62.7,48.6909,0,0,62.7,314306.083110259,25506410.1035222
32,33,0,214.969758152951,118365,86.3,71.019,0,0,86.3,151085.92489142,17883285.4997729
33,34,0,697.116306903137,154024.5,113.3,92.4147,0,0,113.3,172817.119983828,26618070.4969491
34,35,0,697.116306903138,96460,75.25,57.876,0,0,75.25,393669.47672512,37973357.7249051
34,36,0,351.433402498945,101275.5,96.55,60.7653,0,0,96.55,362756.206552509,36738316.1967086
36,37,0,5.71089327431347,74737,97.45,44.8422,0,0,97.45,532812.607276358,39820815.8300132
37,38,0,20.5967100961432,105428.5,107.05,63.2571,0,0,107.05,504427.03629402,53180985.7959241
38,39,0,1527.66050086067,94759.5,75.3,56.8557,879781.71875,3306,3381.3,250012.226482957,23691033.5754118
39,40,0,1600.7303665959,66282,74.3,39.7692,0,0,74.3,504630.44451403,33447915.1232789
8,41,0,0.925368801691143,216845,201.2,130.107,0,0,201.2,301385.255126134,65353885.6478265
41,42,0,80.9959974511,1311706.5,2013.45,787.0239,732254.25,3534.56034,5548.01034,462398.285614645,606530836.829586
42,43,0,85.4782328041093,175892,157.1,105.5352,0,0,157.1,361427.011577897,63572119.9204595
45,46,0,8.97048957109427,32016.5,35.65,19.2099,0,0,35.65,736983.257872696,23595624.4756812
46,47,0,5.80472042805497,88023.5,83.8,52.8141,0,0,83.8,412557.388322177,36314745.2709771
47,48,0,89.5422654892807,81053,57.8,48.6318,0,0,57.8,199924.375956372,16204470.4443918
48,49,0,89.5422654892807,52690.5,47.45,31.6143,0,0,47.45,467933.305785296,24655639.8484801
25,51,0,0.291740944448803,31320.5,22.8,18.7923,0,0,22.8,159724.408220029,5002648.32765542
51,52,0,477.171214493094,106397.5,77,63.8385,0,0,77,135058.382708606,14369874.2742389
52,53,0,181.025598108102,96886.5,73.05,58.1319,0,0,73.05,317671.122767864,30778043.2360487
53,54,0,80.0984781176044,122161,86.4,73.2966,0,0,86.4,115672.399941786,14130656.0492885
54,55,0,80.3012168018879,85112,75.1,51.0672,609670.125,3383.75001,3458.85001,272857.039761374,23223408.3681701
55,56,0,94.7903897546296,57515,55.55,34.509,0,0,55.55,312674.719880529,17983486.5139286
56,57,0,30.6643823784448,103370.5,83.35,62.0223,0,0,83.35,306578.248931633,31691146.8811874
57,58,0,7.37116241682959,88075,81.65,52.845,0,0,81.65,288555.568855281,25414531.7269289
58,59,0,4.16513977885782,49289,46.6,29.5734,0,0,46.6,324172.097997995,15978118.5382232
59,60,0,8.32042004675103,70549,116.15,42.3294,1193822,4878.07176,4994.22176,441142.057899504,31122131.0427521
