from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,from_ctry,to_ctry,sp_distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,upgrade_cat,ug_cost_km,add,ug_cost
1,2,104.333333333333,215.330292562155,157.522826532098,180.612749591116,2.33310513046056,65988,SEN,SEN,43272.2243477175,46.15,85.7915492957747,100,39.5928,0,0,46.15,39.5928,25203.64453125,670689.375,2262.98018567153,699437.03984463,48570.19267527,Asphalt Mix Resurfacing,165533.432763229,FALSE,10923220.16118
6,7,141,23.7297901765288,17.8358342452276,22.6193327535725,1.3752938981171,313979.5,ESH,MAR,247859.897052163,254.5,74.0226719056975,100,188.3877,354577.9375,1254.69228,1509.19228,1443.07998,32235.525390625,58482.1328125,32.4488236023982,503479.040055281,34873.7333547209,Mixed Works,271039.549896426,FALSE,85100862.3567049
9,10,54,14.6314881012882,10.7149534878732,12.7784662586485,1.1652884984638,133228,CIV,CIV,114944.963761028,116.4,68.6742268041237,100,79.9368,0,0,116.4,79.9368,5606.072265625,363629.96875,466.997928277561,510762.060303799,35463.1390603906,Mixed Works,274960.242463544,FALSE,36632403.182933
18,19,226,282.935572437287,214.969758152951,277.139729660846,2.45168755311982,118365,GHA,GHA,103948.594932945,86.3,82.2931633835458,100,71.019,0,0,86.3,71.019,13171.91796875,1368300.5,1931.50108197058,638391.23193558,44330.7740276219,Asphalt Mix Resurfacing,151085.92489142,FALSE,17883285.4997729
22,23,621,458.261077161331,333.467037266659,444.760666640768,2.66111297159803,161349,BFA,GHA,135202.366530895,121.25,79.8428041237113,100,96.8094,774799.09375,3649.74999,3770.99999,3746.55939,10741.59375,257034.828125,281.708329964345,529055.070752291,36728.8712046913,Mixed Works,284807.979754983,FALSE,45953482.7254868
6,27,20,1.23930529976941,0.925368801691143,0.756206529154033,0.0931783069186235,216845,ESH,ESH,155608.120636636,201.2,64.6655069582505,100,130.107,0,0,201.2,130.107,39988.59375,90817.640625,84.9934120489332,559848.771132138,38839.7516467265,Mixed Works,301385.255126134,FALSE,65353885.6478265
29,30,122,177.76766080283,89.5422654892807,106.894385907321,2.24985275768987,52690.5,DZA,DZA,42929.6448713745,47.45,66.6265542676502,100,31.6143,0,0,47.45,31.6143,102480.53125,1198788,4028.55676413176,869225.955019126,60361.6400951742,Mixed Works,467933.305785296,FALSE,24655639.8484801
32,33,232,167.260814807195,123.137245899543,154.153705092079,2.22339420810946,89102.5,NGA,NGA,74234.8746220459,66.05,80.9409538228615,100,53.4615,0,0,66.05,53.4615,11906.6416015625,1316382.875,2639.46161965566,647658.925245251,44974.8661543578,Asphalt Mix Resurfacing,153279.278974709,FALSE,13657566.954844
32,34,379.666666666667,147.299205903054,108.942338961094,137.819666878634,2.16820040554697,54628,NGA,NGA,46634.2796254837,40.85,80.236964504284,100,32.7768,0,0,40.85,32.7768,8756.8994140625,335583.4375,1042.61070019813,576855.012688713,40056.1116940708,Asphalt Mix Resurfacing,136522.353002995,FALSE,7457943.09984761
34,35,1109,1818.80458626645,1290.72462328753,1696.67422730691,3.25978604064397,51755.5,NGA,NGA,47081.9799942888,36.65,84.7293315143247,100,31.0533,0,0,36.65,31.0533,4982.03271484375,358838.96875,1100.6403473017,541590.487618286,37607.5473885557,Asphalt Mix Resurfacing,128176.415402994,FALSE,6633834.46738966
36,37,201.6,354.411511225989,267.013744623889,355.592847009358,2.54950781925547,151759,NGA,NGA,133381.346673722,116.2,78.3609294320138,100,91.0554,0,0,116.2,91.0554,4976.0107421875,2391127.25,2637.39400485278,583241.583662371,40501.5826639723,Mixed Works,313978.385871576,FALSE,47649045.8614845
37,38,147,477.900126640363,330.866480920616,431.640296890679,2.67933714560597,55641,NGA,NGA,49321.9055053007,41.75,79.9631137724551,100,33.3846,0,0,41.75,33.3846,17502.669921875,1247005,3677.77014882706,697695.77800543,48449.9760664613,Mixed Works,375592.893826256,FALSE,20898364.2053867
22,39,1168,238.038229409854,181.025598108102,232.178642422441,2.37664671120967,96886.5,BFA,BFA,89006.9604678927,73.05,79.5782340862423,100,58.1319,0,0,73.05,58.1319,26199.951171875,173725.375,289.139281601073,590101.156844329,40967.2226382372,Mixed Works,317671.122767864,FALSE,30778043.2360487
41,42,561.333333333333,631.498931903175,463.440324557015,624.309180625409,2.80037262034036,59962,NGA,NGA,40820.03028791,43.2,83.2805555555556,100,35.9772,0,0,43.2,35.9772,66924.1328125,924446.8125,3271.16229425194,811408.857757455,56346.3734083345,Asphalt Mix Resurfacing,192033.429669264,FALSE,11514708.5098284
36,45,60,62.1324065668054,48.5774549538888,59.6403541861607,1.79331817541325,81655,NGA,NGA,69864.409762143,76.85,63.7514638906962,100,48.993,0,0,76.85,48.993,28587.0390625,1235908.5,2630.0859046823,719218.13811796,49944.0902067846,Mixed Works,387179.097686835,FALSE,31615109.2216185
46,47,1240,1797.48738728385,1131.49764986803,1423.30012296171,3.25466585168232,39461,NGA,CMR,34976.6298475612,28.55,82.9302977232925,100,23.6766,1944034.6875,7592.57175,7621.12175,7616.24835,17123.140625,60506.59375,247.37377377277,617725.094374256,42882.8682147606,Asphalt Mix Resurfacing,146194.939001907,FALSE,5768998.48795425
47,48,1329,2002.30301659727,1239.43241772921,1547.50709428428,3.30152980165377,37300,CMR,CMR,34221.7712954951,26.3,85.0950570342205,100,22.38,0,0,26.3,22.38,42810.80078125,14994.5244140625,62.5030363447963,614052.042063957,42585.009743069,Asphalt Mix Resurfacing,145325.649955136,FALSE,5420646.74332657
48,49,771.25,1031.48735536108,639.420666431752,817.24681292662,3.01346390847925,144533,CMR,CMR,100738.966694282,102.65,84.4810521188505,100,86.7198,0,0,102.65,86.7198,59266.69921875,203587.5625,301.817547141125,653200.532429743,45348.3960663626,Asphalt Mix Resurfacing,154590.792675039,FALSE,22343471.0377014
48,50,196,670.95640680559,443.216007501546,539.638998218681,2.82669430422443,215410,CMR,CMR,151194.244494943,224.1,57.6733601070951,100,129.246,0,0,224.1,129.246,52845.83984375,130222.2109375,125.975126683682,598392.628938413,41527.1250607659,Upgrade,506639.09250119,FALSE,109135126.915681
50,51,203,742.194577675461,496.027508238278,605.461604418485,2.87051777715608,52578,CMR,CMR,38280.0714252111,40.85,77.2259485924113,100,31.5468,0,0,40.85,31.5468,7163.97314453125,598569.625,2247.95973186733,601098.673652286,41741.3854412134,Mixed Works,323591.45264948,FALSE,17013791.3974044
51,52,137.75,307.180418846305,181.25658894015,228.3565322922,2.48739352822785,70921,CMR,CMR,56519.83950036,55.25,77.0182805429864,100,42.5526,0,0,55.25,42.5526,5863.8583984375,1164988,3027.08117587522,601852.555074442,41794.142928479,Mixed Works,323997.292148408,FALSE,22978211.9564572
