from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,from_ctry,to_ctry,sp_distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,upgrade_cat,ug_cost_km,add,ug_cost,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,104.333333333333,215.330292562155,157.522826532098,180.612749591116,2.33310513046056,65.988,SEN,SEN,43272.2243477175,0.7691666666666667,85.7915492957747,100,39.5928,0.0,0.0,46.15,39.5928,25203.64453125,670689.375,2262.98018567153,699437.03984463,48570.19267527,Asphalt Mix Resurfacing,165533.432763229,false,1.092322016118e7,10.923220161180001,85.79154929577464,99.9999997817335,30.36640439597539,230.54259022831823,27.899040894051772,7.335417163662032,0.45235745712037323,271.88378731420687,1.2196383501685328,2.2108707160601173,0.39560190541112616,0.561064054841481,0.057992489816822104,0.2627087354288271,0.02728634380537515,0.006540654015482499,0.009360292051573127,0.0037403268129626755,0.003908361873809013,0.14039925127296204,0.12462783729703421,0.012108448148693733,0.040549311639345074,0.007157431623806605
6,7,141.0,23.7297901765288,17.8358342452276,22.6193327535725,1.3752938981171,668.5574375,ESH,MAR,247859.897052163,4.241666666666666,74.0226719056975,100,188.3877,354.5779375,1254.69228,1509.19228,1443.07998,32235.525390625,58482.1328125,32.4488236023982,503479.040055281,34873.7333547209,Mixed Works,271039.549896426,false,8.51008623567049e7,85.10086235670491,74.02267190569745,99.99999847636522,60.05420725866794,96.57647411953188,12.455124581315262,1.4376294718238884,4.820549902449048,0.6933937907047488,36.94567087886313,9.0485612268147e-8,7.171279809286934e-7,7.171396593036379e-7,7.171104130065258e-7,7.171375065598714e-7,7.170757801780242e-7,7.16738547352112e-7,7.168831565869064e-7,7.163464350092296e-7,7.163873785349809e-7,7.171394491388708e-7,7.171394121647497e-7,7.171373005188215e-7,7.171387853313585e-7,7.171055102972261e-7
9,10,54.0,14.6314881012882,10.7149534878732,12.7784662586485,1.1652884984638,133.228,CIV,CIV,114944.963761028,1.9400000000000002,68.6742268041237,100,79.9368,0.0,0.0,116.4,79.9368,5606.072265625,363629.96875,466.997928277561,510762.060303799,35463.1390603906,Mixed Works,274960.242463544,false,3.6632403182933e7,36.632403182933004,68.6742268041237,99.99999865102035,10.269442507076098,103.76065709568938,292.06404758278,1.6581766585595552,1.2571810688495566e-6,0.7121572912972892,0.044274911808841674,1.257182708338158e-6,4.9388498053601726e-8,0.05706018288631032,1.8582243112949967e-7,0.07174934522136552,0.004561676137574467,0.0008963921551854351,0.0013404922603308604,0.0004818402406271362,0.0005058052573221909,0.019058449463526757,0.01668887200342013,0.0014616829721909007,0.0048542407889542935,0.0009914973739766457
18,19,226.0,282.935572437287,214.969758152951,277.139729660846,2.45168755311982,118.365,GHA,GHA,103948.594932945,1.4383333333333332,82.2931633835458,100,71.019,0.0,0.0,86.3,71.019,13171.91796875,1.3683005e6,1931.50108197058,638391.23193558,44330.7740276219,Asphalt Mix Resurfacing,151085.92489142,false,1.78832854997729e7,17.8832854997729,82.29316338354577,99.9999995506418,172.46665025446407,58.85983601088645,7.706514237081339e-8,32.914681634918374,6.477098807193618,0.8673155378070709,0.5498998042667518,5.334902595437382e-7,179.41553320594335,1.3008064637366068,9.715992672225901e-8,5.2407604972994735,0.24959067821650843,0.043503669342765616,0.06676339189186692,0.022240522938334922,0.023404879148978947,0.8154387178543807,0.7107745936738918,0.07191202990989586,0.19917519308703252,0.04762147676378129
22,23,621.0,458.261077161331,333.467037266659,444.760666640768,2.66111297159803,936.14809375,BFA,GHA,135202.366530895,2.0208333333333335,79.8428041237113,100,96.8094,774.79909375,3649.74999,3770.99999,3746.55939,10741.59375,257034.828125,281.708329964345,529055.070752291,36728.8712046913,Mixed Works,284807.979754983,false,4.59534827254868e7,45.9534827254868,79.84280412371133,79.93294971560539,2.6896548071301256e-8,3.386135703081478e-7,26.846345434604338,17.10847521699406,3.6459457451126025,3.279282680449511e-7,0.4179621434533125,7.12620672463521e-7,28.697279916782083,1.0899251653522608,0.4167055028599749,14.470886987074776,0.3006126995771323,0.04954510121278699,0.07680379919886,0.032497102300622915,0.03422937555559224,1.6853529689180722,1.4525560253825105,0.10781553424641857,0.37747186998622895,0.070660651008252
6,27,20.0,1.23930529976941,0.925368801691143,0.756206529154033,0.0931783069186235,216.845,ESH,ESH,155608.120636636,3.353333333333333,64.6655069582505,100,130.107,0.0,0.0,201.2,130.107,39988.59375,90817.640625,84.9934120489332,559848.771132138,38839.7516467265,Mixed Works,301385.255126134,false,6.53538856478265e7,65.3538856478265,64.6655069582505,99.99999822023486,94.02897524159219,87.83296342775715,15.192728584318273,1.9548362653969165,4.7025101622977966e-7,1.9791836065210362,4.7025056270775023e-7,3.196485562605895e-7,0.06078640704896878,6.949396547723017,0.02478130281610701,0.3094674121261914,0.011498662807796987,0.0018708354146621292,0.0029134013736437873,0.0009509904846216589,0.0010023900252570843,0.838880761502479,0.7132893555455865,0.04049695045603917,0.16908110262622314,0.011784345841681197
29,30,122.0,177.76766080283,89.5422654892807,106.894385907321,2.24985275768987,52.6905,DZA,DZA,42929.6448713745,0.7908333333333334,66.6265542676502,100,31.6143,0.0,0.0,47.45,31.6143,102480.53125,1.198788e6,4028.55676413176,869225.955019126,60361.6400951742,Mixed Works,467933.305785296,false,2.46556398484801e7,24.655639848480103,66.62655426765015,99.99999851575794,1.6724915358889856e-7,331.85641493729395,4.011963949435004,4.679903278881628,1.672492716272033e-7,0.6900883219409863,6.173235103697003,0.9510969208948169,0.7799476629719695,268.2184917890372,5.408912652653741e-7,5.408847279533758e-7,5.408991863958946e-7,5.409984602360912e-7,5.409544142532642e-7,5.411226461524793e-7,5.41109454760569e-7,1.6724923380720344e-7,1.6724926797821086e-7,1.672591670682869e-7,1.6725057590472588e-7,1.6727305777552006e-7
32,33,232.0,167.260814807195,123.137245899543,154.153705092079,2.22339420810946,89.1025,NGA,NGA,74234.8746220459,1.1008333333333333,80.9409538228615,100,53.4615,0.0,0.0,66.05,53.4615,11906.6416015625,1.316382875e6,2639.46161965566,647658.925245251,44974.8661543578,Asphalt Mix Resurfacing,153279.278974709,false,1.3657566954844e7,13.657566954844,80.94095382286147,99.99999946131936,3.2276050342583013e-7,189.78089987880418,7.655571621313067,229.68931981205304,16.84826959432693,6.29282635274363e-7,0.08961417182746034,4.236924264680714e-7,1.1640462424254876e-7,0.212878031896995,8.411640549421334e-7,1.1275401412650055,2.812063861656798e-7,2.81206958985521e-7,2.812067186685289e-7,2.0644941510598984e-7,1.7118122629079364e-7,0.15951079433743484,0.13825160570214928,1.711871794501529e-7,1.401258026418892e-7,1.7118607628277424e-7
32,34,379.666666666667,147.299205903054,108.942338961094,137.819666878634,2.16820040554697,54.628,NGA,NGA,46634.2796254837,0.6808333333333334,80.236964504284,100,32.7768,0.0,0.0,40.85,32.7768,8756.8994140625,335583.4375,1042.61070019813,576855.012688713,40056.1116940708,Asphalt Mix Resurfacing,136522.353002995,false,7.45794309984761e6,7.45794309984761,80.23696450428396,99.99999941481619,10.971413690913577,7.603768373075247e-8,15.545405007745122,2.353065318465338e-7,29.729602606740038,0.0565475511158129,2.3531753285568747e-7,0.4870431321452553,1.7287536510777828,2.3531064421079025e-7,72.42020871586078,2.3530705618790936e-7,0.7098624888431582,0.0741726886780594,0.12566639811546515,0.01687573433477882,0.01749382708257623,2.3531226765557875e-7,2.3531279786357395e-7,0.05623939349038985,0.05466297875054817,0.039165059852762314
34,35,1109.0,1818.80458626645,1290.72462328753,1696.67422730691,3.25978604064397,51.7555,NGA,NGA,47081.9799942888,0.6108333333333333,84.7293315143247,100,31.0533,0.0,0.0,36.65,31.0533,4982.03271484375,358838.96875,1100.6403473017,541590.487618286,37607.5473885557,Asphalt Mix Resurfacing,128176.415402994,false,6.63383446738966e6,6.63383446738966,84.72933151432468,99.99999971156694,1.0070659724732827e-7,2.247636622493333e-8,6.96942960862495,67.85162653857016,6.208279468674513,2.135354969983748e-6,0.38608308180113055,0.12612481980517257,0.4266888916693052,0.786634316565941,71.88766080144667,2.961107883239056,2.853257551085664,0.3263742523056885,0.5437084558972324,0.09727955832715754,0.1006609940638079,0.6215317742609303,0.5758235764416991,0.30327902159587766,0.49747980595681124,0.21577511760731669
