from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,from_ctry,to_ctry,sp_distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,upgrade_cat,ug_cost_km,add,ug_cost,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,104.333333333333,215.330292562155,157.522826532098,180.612749591116,2.33310513046056,65.988,SEN,SEN,43272.2243477175,0.7691666666666667,85.7915492957747,100,39.5928,0.0,0.0,46.15,39.5928,25203.64453125,670689.375,2262.98018567153,699437.03984463,48570.19267527,Asphalt Mix Resurfacing,165533.432763229,false,1.092322016118e7,10.923220161180001,85.79154929577464,99.99999538830482,4.781316007424272,46.79175879030269,4.306650399589226,1.0712236576761927,0.051257883711783574,52.05004315055146,0.14192270034878066,0.24981620043321756,0.04452127876517039,0.07562573050109374,0.007152239320196935,0.04013332417839268,0.0036720095661844777,0.0008656891167035263,0.0012289399836624617,0.00044831506850086077,0.0004723548083057553,0.019120565174507997,0.01823471415148466,0.0015947941570567462,0.00587595005123283,0.0008862222371134054
6,7,141.0,23.7297901765288,17.8358342452276,22.6193327535725,1.3752938981171,668.5574375,ESH,MAR,247859.897052163,4.241666666666666,74.0226719056975,100,188.3877,354.5779375,1254.69228,1509.19228,1443.07998,32235.525390625,58482.1328125,32.4488236023982,503479.040055281,34873.7333547209,Mixed Works,271039.549896426,false,8.51008623567049e7,85.10086235670491,74.02267190569745,99.9999826038073,16.075527368739905,19.4204310714995,2.0808452464345084,1.1667958814976532e-5,0.5786344931932424,0.16952023042580586,4.906762191487051,6.981747855128618e-7,6.981595177252e-7,6.982171077822375e-7,6.980584377311141e-7,6.982078696273736e-7,6.978598924432767e-7,6.959003468786353e-7,6.967230538353538e-7,6.930469717271372e-7,6.933615378681558e-7,6.98215754030714e-7,6.982156587646492e-7,6.9819844321525e-7,6.982114338958845e-7,6.980187900994638e-7
9,10,54.0,14.6314881012882,10.7149534878732,12.7784662586485,1.1652884984638,133.228,CIV,CIV,114944.963761028,1.9400000000000002,68.6742268041237,100,79.9368,0.0,0.0,116.4,79.9368,5606.072265625,363629.96875,466.997928277561,510762.060303799,35463.1390603906,Mixed Works,274960.242463544,false,3.6632403182933e7,36.632403182933004,68.6742268041237,99.99997729689434,1.6325051027623196,22.624220730237877,56.02331257000915,0.2375223447364793,9.325790951005806e-7,0.08507217786184385,0.004629777438032406,9.325866095967407e-7,7.355704854137911e-8,0.007423362323469983,7.979810310729677e-8,0.010031201921999211,0.000565889830572587,0.0001108713351981542,0.00016373681237306088,5.3726463516060116e-5,5.688731884458147e-5,0.0028875595809722794,0.002734918825111275,0.00019216967392921697,0.0007631782400549048,0.00011379056412523262
18,19,226.0,282.935572437287,214.969758152951,277.139729660846,2.45168755311982,118.365,GHA,GHA,103948.594932945,1.4383333333333332,82.2931633835458,100,71.019,0.0,0.0,86.3,71.019,13171.91796875,1.3683005e6,1931.50108197058,638391.23193558,44330.7740276219,Asphalt Mix Resurfacing,151085.92489142,false,1.78832854997729e7,17.8832854997729,82.29316338354577,99.99999169083779,36.777194902773644,9.933939309085844,8.1462441152186e-8,5.5749235175579175,0.6483001528713412,0.10869260037139972,0.08911597393613488,2.3653557690702286e-7,34.243895600971484,0.21281411341912496,9.77208984510623e-8,0.9508443585090762,0.035743998803918264,0.006002554618251719,0.009153115458434781,0.00271636414221004,0.0028866735345636947,0.15482464137652738,0.14603445283433045,0.010667239849290638,0.03744268966806946,0.006058925901467002
22,23,621.0,458.261077161331,333.467037266659,444.760666640768,2.66111297159803,936.14809375,BFA,GHA,135202.366530895,2.0208333333333335,79.8428041237113,100,96.8094,774.79909375,3649.74999,3770.99999,3746.55939,10741.59375,257034.828125,281.708329964345,529055.070752291,36728.8712046913,Mixed Works,284807.979754983,false,4.59534827254868e7,45.9534827254868,79.84280412371133,80.7853892704251,3.1756331633734586e-8,4.2572662281444427e-7,4.847890053362428,3.183957738788584,0.5989782938017468,2.1253650011962925e-7,0.07581755019048193,0.04681412256627887,5.361419328095631,0.44361020604631635,0.06920384779639867,2.6681313768604964,0.04258579425240167,0.006774781416121884,0.01042493907628853,0.003874776215285127,0.004121903367194868,0.3144630009890846,0.2950371614214091,0.01796500761670315,0.0693930158178833,0.00876552632937785
6,27,20.0,1.23930529976941,0.925368801691143,0.756206529154033,0.0931783069186235,216.845,ESH,ESH,155608.120636636,3.353333333333333,64.6655069582505,100,130.107,0.0,0.0,201.2,130.107,39988.59375,90817.640625,84.9934120489332,559848.771132138,38839.7516467265,Mixed Works,301385.255126134,false,6.53538856478265e7,65.3538856478265,64.6655069582505,99.99997306005203,20.138380005686738,20.290933539667897,2.127835585843049,1.155038812072742e-5,4.233883520341833e-7,0.16942149283797972,4.2338685079078164e-7,0.012907659180638366,0.00956810913233424,1.1535315814985243,0.0035520015544035963,0.05548061768776374,0.001598789644807899,0.0002511829938491263,0.00038833561722597526,0.00011284291580385959,0.00012014990389873442,0.1269700750547942,0.11873129082005188,0.005518483895977157,0.026491488667625965,0.0016143614998908784
29,30,122.0,177.76766080283,89.5422654892807,106.894385907321,2.24985275768987,52.6905,DZA,DZA,42929.6448713745,0.7908333333333334,66.6265542676502,100,31.6143,0.0,0.0,47.45,31.6143,102480.53125,1.198788e6,4028.55676413176,869225.955019126,60361.6400951742,Mixed Works,467933.305785296,false,2.46556398484801e7,24.655639848480103,66.62655426765015,99.9999751326958,1.228505042964709e-7,64.1928509801569,0.572884426187656,0.8017710985935781,1.2285046190986574e-7,0.08858529755303782,0.9617289088154337,0.1545413000159953,3.7194281559878747e-7,52.288372057623086,2.2510412171715383e-7,2.2509993199194497e-7,2.2510777612420638e-7,2.2516769904175554e-7,2.251413298067966e-7,2.252647735917829e-7,2.2525377627295763e-7,1.2285043217959602e-7,1.2285045228711777e-7,1.228654132358889e-7,1.2285209892435245e-7,1.228873972130877e-7
32,33,232.0,167.260814807195,123.137245899543,154.153705092079,2.22339420810946,89.1025,NGA,NGA,74234.8746220459,1.1008333333333333,80.9409538228615,100,53.4615,0.0,0.0,66.05,53.4615,11906.6416015625,1.316382875e6,2639.46161965566,647658.925245251,44974.8661543578,Asphalt Mix Resurfacing,153279.278974709,false,1.3657566954844e7,13.657566954844,80.94095382286147,99.99999026167863,1.750042062894236e-7,38.773052212998515,0.9694778348019324,45.185934508057834,2.495946722390174,4.783789898307508e-7,0.014035666329898455,1.0145324143353157e-7,5.491339334882326e-8,0.033977295962945804,5.159588338237106e-7,0.15170722157067004,1.9746810597623177e-7,1.9747006278968717e-7,1.9746925473075197e-7,1.97482174425555e-7,1.9748315539318581e-7,0.02472054204389697,0.023317285868132174,4.562052036797005e-8,3.870843936429319e-7,1.0968395828014421e-7
32,34,379.666666666667,147.299205903054,108.942338961094,137.819666878634,2.16820040554697,54.628,NGA,NGA,46634.2796254837,0.6808333333333334,80.236964504284,100,32.7768,0.0,0.0,40.85,32.7768,8756.8994140625,335583.4375,1042.61070019813,576855.012688713,40056.1116940708,Asphalt Mix Resurfacing,136522.353002995,false,7.45794309984761e6,7.45794309984761,80.23696450428396,99.9999895176277,2.387273208800217,4.564156141899144e-8,2.174917739743931,1.4686074698162409e-7,5.426864780367228,0.0075473180014256755,1.4689058561834704e-7,0.06425871524712308,0.29753739783416394,1.4687150157121126e-7,13.942527276761837,1.4686237104248517e-7,0.08719771170657631,0.009095382567760492,0.015144940575876537,0.002329359569637535,0.002176776289293453,1.4687636073570945e-7,1.468774551163714e-7,0.004129445121831739,0.007062820341939718,0.004484605810694753
34,35,1109.0,1818.80458626645,1290.72462328753,1696.67422730691,3.25978604064397,51.7555,NGA,NGA,47081.9799942888,0.6108333333333333,84.7293315143247,100,31.0533,0.0,0.0,36.65,31.0533,4982.03271484375,358838.96875,1100.6403473017,541590.487618286,37607.5473885557,Asphalt Mix Resurfacing,128176.415402994,false,6.63383446738966e6,6.63383446738966,84.72933151432468,99.99999426563987,3.5976986405146295e-7,1.726491534190244e-8,0.9547434701191643,12.350658461439888,1.1515229523407933,2.3595495814884888e-6,0.057870640383227805,0.016966023637420998,0.07441580666920233,0.11929426692629191,12.3645312759158,0.39134459624580387,0.3557714596844627,0.04072988384664912,0.06670213775603111,0.013420402272458972,0.012585383481038501,0.09213502696459012,0.0878435304955305,0.03194761374593021,0.06354653023242349,0.024952569949831735
