from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,from_ctry,to_ctry,sp_distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,upgrade_cat,ug_cost_km,add,ug_cost,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,104.333333333333,215.330292562155,157.522826532098,180.612749591116,2.33310513046056,65.988,SEN,SEN,43272.2243477175,0.7691666666666667,85.7915492957747,100,39.5928,0.0,0.0,46.15,39.5928,25203.64453125,670689.375,2262.98018567153,699437.03984463,48570.19267527,Asphalt Mix Resurfacing,165533.432763229,false,1.092322016118e7,10.923220161180001,85.79154929577464,98.1675968970491,3.3514831788623756,105.47982652327562,3.9690507485281215,0.37033237122189794,0.032619026267758346,540.9592341757711,0.042677031770423715,0.08307682483609494,0.01094586271923884,0.021785533500968655,0.004996328529612894,0.0033997344475418098,0.0001365983558937764,3.5032306290788454e-5,4.095472302601734e-5,3.1294853527656554e-5,2.895996566183996e-5,0.003581620082922303,0.003092448587489821,0.00010961555509100293,0.0004994135118320967,6.797598307054771e-5
6,7,141.0,23.7297901765288,17.8358342452276,22.6193327535725,1.3752938981171,313.9795,ESH,MAR,247859.897052163,4.241666666666666,74.0226719056975,100,188.3877,354.5779375,1254.69228,1509.19228,1443.07998,32235.525390625,58482.1328125,32.4488236023982,503479.040055281,34873.7333547209,Mixed Works,271039.549896426,false,8.51008623567049e7,85.10086235670491,74.02267190569745,74.02267349065406,35.61654709257635,65.3692363662283,5.250723485412399,0.5878684915317429,27.084229984342418,0.35006146449148473,42.103632020581706,0.0365074615761877,1.8280113520823176e-6,1.827786888116295e-6,1.8282073629495664e-6,1.8278220098388629e-6,1.8324400993535155e-6,1.8514181064167724e-6,1.8463852925429422e-6,1.848090751409518e-6,1.8500407683526121e-6,1.827819401960279e-6,1.8278285369850435e-6,1.8322371866738334e-6,1.8284117339045355e-6,1.8357929551777493e-6
9,10,54.0,14.6314881012882,10.7149534878732,12.7784662586485,1.1652884984638,133.228,CIV,CIV,114944.963761028,1.9400000000000002,68.6742268041237,100,79.9368,0.0,0.0,116.4,79.9368,5606.072265625,363629.96875,466.997928277561,510762.060303799,35463.1390603906,Mixed Works,274960.242463544,false,3.6632403182933e7,36.632403182933004,68.6742268041237,98.16759661437081,0.006192811750210717,42.07515927541323,1123.323799764802,0.000822521494161326,5.636507853665045,3.6628485618336755,0.13877256584480147,118.20813050975005,3.92670622734179,1.7956615740554537e-5,2.5160981038191017,1.4763415535832642e-5,0.01670344915457147,0.0036220171546946546,0.004310909850134314,3.844761994650012e-7,3.774224086142761e-7,4.915641505255078e-6,4.368862956676405e-6,5.676416558805436e-7,1.2061562023499188e-6,4.786514417682749e-7
18,19,226.0,282.935572437287,214.969758152951,277.139729660846,2.45168755311982,118.365,GHA,GHA,103948.594932945,1.4383333333333332,82.2931633835458,100,71.019,0.0,0.0,86.3,71.019,13171.91796875,1.3683005e6,1931.50108197058,638391.23193558,44330.7740276219,Asphalt Mix Resurfacing,151085.92489142,false,1.78832854997729e7,17.8832854997729,82.29316338354577,98.16759683927617,103.60465121725241,27.08451418207239,7.879597664655182,14.777778488464516,21.245468566123208,1.0397762498079524e-7,0.13505143132480607,2.7429025215934644,252.19680919288638,0.38650365083106925,4.71464151244645,1.150380746562583e-5,1.6852173813617117e-6,1.685570001365473e-6,1.6854813883015973e-6,1.1525081308279122e-5,1.1527321752239225e-5,1.1503992384311034e-5,1.1504050434724688e-5,1.1523765765927185e-5,1.1507192497441522e-5,1.1537787618705475e-5
22,23,621.0,458.261077161331,333.467037266659,444.760666640768,2.66111297159803,161.349,BFA,GHA,135202.366530895,2.0208333333333335,79.8428041237113,100,96.8094,774.79909375,3649.74999,3770.99999,3746.55939,10741.59375,257034.828125,281.708329964345,529055.070752291,36728.8712046913,Mixed Works,284807.979754983,false,4.59534827254868e7,45.9534827254868,79.84280412371133,98.16759679881054,5.68966544685047e-7,11.150674874793765,69.97997787899979,1.0986140685537286e-5,34.79152907119993,0.2616671985703155,0.2398526815529622,12.653912227477724,26.441445595805266,0.7659880201348268,19.430702607082,5.678901015563914,3.777759700716753e-6,3.7766123723060008e-6,3.7768657762601507e-6,0.005399943512595449,0.005002357936527487,0.7366924864656821,0.6434708780347019,0.028222402986900146,0.11838406134540903,0.01790854028824111
6,27,20.0,1.23930529976941,0.925368801691143,0.756206529154033,0.0931783069186235,216.845,ESH,ESH,155608.120636636,3.353333333333333,64.6655069582505,100,130.107,0.0,0.0,201.2,130.107,39988.59375,90817.640625,84.9934120489332,559848.771132138,38839.7516467265,Mixed Works,301385.255126134,false,6.53538856478265e7,65.3538856478265,64.6655069582505,98.16752230448395,61.734407022474585,117.25537412888156,12.659232653949461,1.4244954047365208,2.9287206209053574e-6,3.444980024465929,2.928720408970401e-6,6.786210583515017e-6,0.04869203667732793,11.438687367990475,0.027680116726804527,0.8359571324253794,0.012412059693149133,0.0027753028074086706,0.00347438775772481,0.004004199976683626,0.0036799635444216407,0.9276431014777071,0.77016149226291,0.015789389970683267,0.08676235697867993,0.009337838518758825
29,30,122.0,177.76766080283,89.5422654892807,106.894385907321,2.24985275768987,52.6905,DZA,DZA,42929.6448713745,0.7908333333333334,66.6265542676502,100,31.6143,0.0,0.0,47.45,31.6143,102480.53125,1.198788e6,4028.55676413176,869225.955019126,60361.6400951742,Mixed Works,467933.305785296,false,2.46556398484801e7,24.655639848480103,66.62655426765015,98.1675965805552,4.890060441370817e-7,225.16946461504324,3.969079669702041e-6,1.663764113504456e-5,3.4567720945382834e-7,0.053516679909402384,0.649417057878229,0.042415111175432334,0.02639853646242693,391.95226250454897,6.244628652028824e-7,6.246493159774876e-7,4.884758580132109e-7,1.107705554468699e-7,4.864476633329235e-7,4.870938700873032e-7,4.868239853596223e-7,4.890039820869809e-7,4.890032525789769e-7,4.887036338447515e-7,4.889620804004998e-7,4.884281662463377e-7
32,33,232.0,167.260814807195,123.137245899543,154.153705092079,2.22339420810946,89.1025,NGA,NGA,74234.8746220459,1.1008333333333333,80.9409538228615,100,53.4615,0.0,0.0,66.05,53.4615,11906.6416015625,1.316382875e6,2639.46161965566,647658.925245251,44974.8661543578,Asphalt Mix Resurfacing,153279.278974709,false,1.3657566954844e7,13.657566954844,80.94095382286147,98.16759681694556,7.751826384406099e-7,122.38036345429137,10.812472583942437,287.1783885300126,14.023452779568993,4.5235503967894595e-6,0.1654311806382386,2.0391002653016237,3.512336089923485,0.4538853216414156,2.6304992148185197e-6,1.7943561359569586,1.1327805533001534e-6,1.1327658394595419e-6,1.1327696611431686e-6,1.1328744155387935e-6,1.1328820319691272e-6,0.31296715944358716,0.2773269635176903,1.2607170447205206e-6,0.05884560353960798,0.009847168301841685
32,34,379.666666666667,147.299205903054,108.942338961094,137.819666878634,2.16820040554697,54.628,NGA,NGA,46634.2796254837,0.6808333333333334,80.236964504284,100,32.7768,0.0,0.0,40.85,32.7768,8756.8994140625,335583.4375,1042.61070019813,576855.012688713,40056.1116940708,Asphalt Mix Resurfacing,136522.353002995,false,7.45794309984761e6,7.45794309984761,80.23696450428396,98.16759680531976,11.2019738402056,4.683175000825592e-8,6.893365854316683,2.4134627392116417e-6,7.037448338816327,0.24076404554898653,2.414027079151875e-6,3.2284110458252853,4.765681599994253,2.4136568014090163e-6,130.84073637876494,2.4135067762935095e-6,0.9661352115551717,0.1251707762336853,0.15563096671820015,0.009848687400292294,0.009162296012030263,2.4137507602038264e-6,2.4137900809504774e-6,0.018628758980579353,2.41512548658521e-6,2.424009122715924e-6
34,35,1109.0,1818.80458626645,1290.72462328753,1696.67422730691,3.25978604064397,51.7555,NGA,NGA,47081.9799942888,0.6108333333333333,84.7293315143247,100,31.0533,0.0,0.0,36.65,31.0533,4982.03271484375,358838.96875,1100.6403473017,541590.487618286,37607.5473885557,Asphalt Mix Resurfacing,128176.415402994,false,6.63383446738966e6,6.63383446738966,84.72933151432468,98.16759687950746,7.608332670619114e-7,1.1827257611816808e-6,9.02949287054558,49.00534231164884,6.7742212660494445,0.27857170374741763,0.056174168982765234,4.1432680513531,6.175977811133375,0.1600221967490018,93.57899807924575,0.6740655664288245,1.535315684699,0.18132492658717925,0.22745478699209273,0.01694484427270826,0.01575686032542404,0.10873059486241236,0.0959103019787866,0.0295892526332436,0.019363847290845188,0.003112236221020398
36,37,201.6,354.411511225989,267.013744623889,355.592847009358,2.54950781925547,151.759,NGA,NGA,133381.346673722,1.9366666666666668,78.3609294320138,100,91.0554,0.0,0.0,116.2,91.0554,4976.0107421875,2.39112725e6,2637.39400485278,583241.583662371,40501.5826639723,Mixed Works,313978.385871576,false,4.76490458614845e7,47.649045861484495,78.36092943201376,98.1675967743386,9.064536412493937e-7,187.10700489353124,8.099263574329131e-7,177.4121566001589,75.64134806552613,0.005470424583220633,0.01001302787982546,0.046959823768494176,0.07183142263429818,0.026502493418925282,0.668804894845966,1.0521386370891307e-6,1.1033054189687662e-5,1.1035722443559965e-5,1.10349236583177e-5,1.1069236209719526e-5,1.1072350118976254e-5,0.018527289978005863,0.011810803995554859,1.1043453596540519e-5,1.380786754207033e-6,1.104392492968442e-5
37,38,147.0,477.900126640363,330.866480920616,431.640296890679,2.67933714560597,55.641,NGA,NGA,49321.9055053007,0.6958333333333333,79.9631137724551,100,33.3846,0.0,0.0,41.75,33.3846,17502.669921875,1.247005e6,3677.77014882706,697695.77800543,48449.9760664613,Mixed Works,375592.893826256,false,2.08983642053867e7,20.8983642053867,79.96311377245509,98.16759680079734,1.350907261655241,137.63139045501268,0.03204671837850082,4.719470584068987,529.4563352034053,0.0006838509973616906,0.001256393999712439,0.005278564067653818,0.007891936712128515,0.003179664986589052,0.06288016203137241,0.03009584430043206,0.04823403822279717,0.0022450390360511277,0.0030519425857531875,0.0001915028780242492,0.0001760765794750315,0.002262510537016409,0.002024605285619323,0.0005091646956572646,0.0005958252689484821,0.0001785264172628939
22,39,1168.0,238.038229409854,181.025598108102,232.178642422441,2.37664671120967,96.8865,BFA,BFA,89006.9604678927,1.2175,79.5782340862423,100,58.1319,0.0,0.0,73.05,58.1319,26199.951171875,173725.375,289.139281601073,590101.156844329,40967.2226382372,Mixed Works,317671.122767864,false,3.07780432360487e7,30.7780432360487,79.57823408624229,79.57823439860614,1.7545554525274918e-7,4.267796449275766,26.93422867568517,1.1784145059969502e-5,8.05703474581269,2.868999002183251e-6,0.775102496837545,7.4512453585162595,16.286279697062945,2.7726357860555195,9.225792303979325,29.33831131399327,0.42189136558778756,0.07571937440857904,0.09175421241748082,0.029703755162150493,0.02749456281251433,3.305764200599754,2.867095950590594,0.11236727935899474,0.490982493240436,0.07042131694639713
