from,to,add,gravity_rd,distance,duration,duration_imp,border_dist,border_time,total_time,cost_per_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,0,157.522826532098,65.988,0.769166666666667,39.5928,0,0,46.15,165533.432763229,10.92322016118,85.7915492957746,86.4542266343052,223.217636288126,831.668719387898,209.137244802768,54.9942406985425,19.9295101580893,929.279087790913,18.3430803178119,15.212535132952,11.5317022572873,3.44238636535425,5.10586029819937,4.8998887205386,2.32456578872438,1.08326162944154,1.50586127942946,0.585493768824522,0.612514953809274,1.78535224634522,1.42721942010062,0.892260961131984,0.96298111867368,0.714687659800454
8,9,0,17.8358342452276,313.9795,4.24166666666667,188.3877,354577.9375,1254.69228,1509.19228,271039.549896426,85.1008623567049,74.0226719056975,85.5955670156328,182.39230037334,233.748169063663,126.065572029675,20.8250817267079,28.2617568623158,43.9443970626262,164.160562779867,14.966268742607,11.2631557593967,18.8882759815128,4.72885336736253,2.59486304804747,0.108991446774853,0.101998508819268,0.12884958388608,0.330698563969092,0.377682948571845,6.6832699025896,2.59254148293117,1.03167230769534,1.66879738777798,0.70785272119108
12,13,0,8.50068934135928,87.814,1.36916666666667,52.6884,0,0,82.15,310891.644542143,27.3006388738237,64.1368228849665,86.4542266343052,61.6060978614722,15.9947388629622,132.45746083028,42.3440644141481,9.62576924464122,36.1063305595094,13.9431300736903,80.8323025669837,18.1086080638487,5.45308987663247,4.73267084496513,0.815094922865334,0.418506954810206,0.194746317201103,0.264644123761322,0.0129853056217555,0.0276655845630043,2.25121460860082,0.797976462901368,0.250959920408585,0.503794186247882,0.149140664093397
13,14,0,10.7149534878732,133.228,1.94,79.9368,0,0,116.4,274960.242463544,36.632403182933,68.6742268041237,86.4542266343052,60.6988228318561,424.913357503925,806.521528982498,35.3726781064142,7.21877005446837,23.0356064572813,9.91223854846598,147.369386083091,4.10105751616008,4.05537652807966,2.00758708070858,1.84679764901635,0.265334873327005,0.108566427750093,0.162294187875558,0.135954181486392,0.151846420950433,1.84471732949361,0.842793988241007,0.363600764982837,0.54711213074107,0.256248979553639
12,15,0,3.81274084456477,90.895,1.52833333333333,54.537,0,0,91.7,465925.111398882,42.3502630006014,59.4732824427481,59.473282405944,11.5653056307024,8.22231115292193,23.6447233746166,21.9588414582872,10.1844392668258,27.788024672197,10.0134845010591,56.7543623325045,23.6474290410227,3.80711909700681,4.9533927353135,0.501553649981612,0.816995086308424,0.366647389845464,0.511466766196221,0.104714536656753,0.0988086905063264,1.42963946931819,0.339067951183567,0.0179108084766895,0.200376651311246,0.0255630347342093
15,16,0,41.2438203598992,167.5675,2.685,100.5405,0,0,161.1,299174.881902869,50.131987023259,62.4087523277467,86.4542266343052,22.5612731088078,385.279705900017,49.5507361694381,18.1813381605781,13.1207571577459,20.3371664562332,8.0760865006619,146.27036401545,25.6725969145837,3.19127451256531,4.47373863769993,0.146726068227624,0.623975648550043,0.281523735946738,0.391315324656385,0.0729198903617021,0.067118076919845,1.24542588812267,0.32921142853705,0.0402837414649894,0.196709432466358,0.00189476591176717
16,17,0,403.573245027922,116.749,1.39583333333333,70.0494,0,0,83.75,146524.520097305,17.1065911968403,83.6410746268657,86.4542266343052,230.462328343343,315.737414748736,1.86684388800887,56.4680031253494,1.50732120464926,17.1678250925642,9.71797224184784,520.104068313682,30.2793350635656,4.35187075435362,2.65969831498839,5.25346579922978,1.87496683423025,0.815219621065573,1.16392155191758,0.49140041217359,0.521752268160522,2.41499658202315,1.56941604678206,0.869216194126521,1.04903314529724,0.669669742388362
10,18,0,222.063429687399,93.252,1.11,55.9512,0,0,66.6,194213.946955775,18.1108389815199,84.0108108108108,86.4542266343052,33.4331325382519,914.528230335596,34.9949844780033,8.77760419810144,292.050885468557,20.1511111185063,932.628265416051,8.48819382877126,6.77771408244239,26.2761949259417,3.10619833000902,1.4386952825358,0.0259892966844186,0.0871966961443401,0.0929558507109046,0.283479120822027,0.323235401085093,6.17650467509487,2.23973370761696,0.880943277143404,1.4387009351812,0.604199239124524
6,20,0,63.8881073432384,234.8035,2.85416666666667,140.8821,0,0,171.25,180556.475158965,42.395292314988,82.2669197080292,86.4542266343052,142.187821515573,563.699997451266,22.5478364383849,392.078118851631,10.9296435442822,11.0556596068762,2.58010630759665,3.09289586623132,7.12040146750858,1.19130875539891,4.73846256196423,5.57534311574632,2.27481264297056,1.00020117705173,1.41839227625335,0.516358657776527,0.539039973349584,1.16406075602613,1.17735571026009,0.764960519564081,0.791215858118289,0.616519971434889
20,21,0,38.4932302955194,82.3785,0.984166666666667,49.4271,0,0,59.05,136137.78109061,11.2148261995728,83.7038103302286,86.4542266343052,326.12528665704,211.942741874781,18.6696669811072,83.1318421807092,13.6350575575579,34.9975629852004,14.6439105631295,4.35768824725023,19.1687824012515,4.1943917764362,10.4487777325335,8.28306150383861,3.84947156287285,1.67976546837808,2.38348689516023,0.755860569344186,0.775856555457621,0.523209669921822,0.996076130738872,0.901516675253458,0.695686992587806,0.776112269210796
