id,from,to,sp_distance,distance,nre_per_link,nre_gain_perc,nre_wtd_per_link,nre_wtd_gain_perc,MA_per_link,MA_gain_perc,from_ctry,to_ctry,border_dist,border_time,MA_per_link_bc,MA_gain_perc_bc,MA_gain_bc_ratio,MA_gain_perc_bc_ratio,total_dist,MA_per_link_bc_opt,MA_gain_perc_bc_opt,MA_gain_bc_opt_ratio,MA_gain_perc_bc_opt_ratio,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,MA_gain_pusd,MA_gain_pusd_bc,MA_gain_pusd_bc_opt,consensus,MA_gain_pusd_cons,duration_100kmh,duration_65kmh,MA_per_link_100kmh,MA_per_link_100kmh_perc,MA_per_link_100kmh_imp,MA_per_link_100kmh_imp_perc,MA_per_link_100kmh_ratio,MA_per_link_100kmh_perc_ratio,total_time_100kmh,total_time_65kmh,MA_per_link_100kmh_bt,MA_per_link_100kmh_bt_perc,MA_per_link_100kmh_bt_opt,MA_per_link_100kmh_bt_opt_perc,MA_gain_100kmh_pusd,MA_gain_100kmh_pusd_bt,MA_gain_100kmh_pusd_bt_opt
1,17,13,83568.1698496587,100960.348888639,0.695249384972548,0.00115434203264986,0.723258806502248,0.00262553256298315,1420100219.32857,0.00150301433865518,SEN,SEN,0,0,1082085976.11476,0.00103075973019173,0.522563587343392,0.685795007860005,100960.348888639,914396310.085106,0.000685212239392996,0.293549273614776,0.455892017641087,15405.1103515625,381149.875,682.68518277959,595513.217197439,595513.217197439,0.355004079025745,0.18551220505723,0.10421118952829,FALSE,0.214909157870422,60.5762093331836,93.1941682048978,1667505301187.08,0.0028500500660833,2368905124533.05,0.00150170428270258,0.748545544938881,0.526904527247939,60.5762093331836,93.1941682048978,936262682568.399,0.00227020370342501,782647582554.044,0.00223910049026443,0.790433043643864,0.35351710706403,0.291465973488955
2,24,17,248391.979735447,300087.233935433,0.695245905180467,0.000653826343732789,0.72324040271737,0.0000809015249236822,1420087872.23795,0.000633549210649065,SEN,SEN,0,0,1082080371.35414,0.00051279549075911,0.616749304596709,0.809401199054067,300087.233935433,914402857.905068,0.00140129833423597,1.42419439939272,2.21182239782187,11640.2783203125,193754.796875,110.604513066364,493602.563044268,493602.563044268,0.0607390359700233,0.0374607581963864,0.08650419485302,FALSE,0.0615679963398099,180.05234036126,277.003600555785,1667539772902.09,0.00491737167804818,2368884545948.39,0.000632995212224152,0.182874726424507,0.128726330582236,180.05234036126,277.003600555785,936268833077.167,0.00292713989362703,782656746943.931,0.00341007390043391,0.553557774755157,0.185014772739644,0.1801753557351
3,28,24,268528.362149009,324414.393396812,0.695282455798368,0.00591108231688953,0.723257132342677,0.00239405200408438,1420130721.42675,0.00365093011407414,SEN,SEN,0,0,1082102202.02898,0.00253027842129772,0.528092034725133,0.693050357645475,324414.393396812,914400892.914357,0.00118640199731068,0.209241281575763,0.324958835212202,15460.2158203125,42880.42578125,22.2017185906038,446872.811740439,446872.811740439,0.357628350748227,0.188860683422025,0.0748306144383854,FALSE,0.207106549536212,194.648636038087,299.459440058596,1667661314263.73,0.0122063935201311,2368955961263.05,0.00364773760821446,0.424543820282331,0.29883827702249,194.648636038087,299.459440058596,936277270206.302,0.00382831013479024,782647336812.043,0.00220770098071643,1.40397109267069,0.247235551416377,0.119182564912604
4,37,24,279031.53326751,337103.48091026,0.695243369850712,0.000289157337629575,0.723240565729457,0.000103440672116761,1420081353.79507,0.000174529433616399,MRT,SEN,1159498.125,2481.384135,1082075409.08207,0.0000542068640196902,0.236663034570734,0.310588666315346,1496601.60591026,914390221.785392,0.0000193804370773876,0.0715012953927002,0.111043946432463,33745.125,110003.71875,53.4386454573086,527650.433624595,527650.433624595,0.0139338653672825,0.00329763086112113,0.00099628942358818,FALSE,0.00607592855066393,202.262088546156,311.172443917163,1667461036660.74,0.000195438541350512,2368873681876.91,0.000174376818740107,1.2675492349712,0.892233525358586,2683.64622354616,2792.55657891716,936241544374.787,0.0000124320453487314,782630227619.159,0.0000215860092023235,0.0183212677686362,0.000654366267638665,0.000949771963168833
5,43,32,84786.2337245793,102431.915802236,0.69526370772167,0.00321445380915275,0.723242992613398,0.000438997963270182,1420095255.04947,0.00115343663651402,GIN,GIN,0,0,1082083110.10816,0.000765897583088204,0.505966522310529,0.6640135737347,102431.915802236,914395458.1011,0.000592037121016631,0.330502096165391,0.513281009354723,121219.5859375,99297.8828125,175.523055648341,679854.083870123,679854.083870123,0.235209686261935,0.119008226971702,0.0777372943479735,FALSE,0.14398506919387,61.4591494813419,94.5525376636029,1667488662727.12,0.00185221610666808,2368896878284.05,0.00115359524519576,0.884806084989317,0.622818925417371,61.4591494813419,94.5525376636029,936248263002.086,0.000730049008024203,782635062207.549,0.000639322107698348,0.443501911632559,0.0981496744502943,0.0718497465234297
6,41,34,139391.093290342,168401.12013796,0.695284314430604,0.00617841857515344,0.723244749222869,0.000681878599650965,1420104049.21736,0.00177270983638955,SEN,GIN,1182544.75,3170.43765,1082085275.71034,0.000966031819227275,0.415239445106547,0.544946386259567,1350945.87013796,914390174.220148,0.0000141785820417795,0.00515008228260147,0.00799825315498713,140000.40625,32300.716796875,34.2140078238792,603135.90405412,603135.90405412,0.247850593547974,0.102917342934189,0.00127645095056368,FALSE,0.117348129144242,101.040672082776,155.447187819656,1667556763294.25,0.00593631155036967,2368911546136.12,0.00177278730069119,0.42425429363619,0.298634477932816,3271.47832208278,3325.88483781966,936252480558.404,0.00118052643753863,782630113529.134,0.00000700823730159783,0.974566262992603,0.108818669997691,0.000540014180173652
7,53,37,242460.182772169,292920.913409011,0.695249506573648,0.00117183251981956,0.723243334343173,0.000486247819653229,1420088361.32774,0.00066799024029951,MLI,MRT,853437.509375,2800.64166,1082076699.62854,0.000173472781850315,0.197881890493981,0.259693587398124,1146358.42278401,914393861.762401,0.000417457497281504,0.402402962990979,0.624945503835994,50636.11328125,264841.3125,161.116350016773,607826.14383996,607826.14383996,0.0532786029634068,0.0105428706772772,0.0214394676964948,FALSE,0.0284203137790596,175.752548045407,270.388535454472,1667839419486.49,0.0228876368553843,2368885361098.03,0.000667406125365311,0.0414262416214856,0.0291601151129023,2976.39420804541,3071.03019545447,936342505933.061,0.0107961418083224,782650312256.795,0.0025878863209039,2.14351261731186,0.56771017628885,0.113755384622376
8,61,37,243396.586341149,294052.200969752,0.695304176051785,0.00903521368793569,0.723295301804458,0.00767161842842867,1420164940.51167,0.00606059097960632,MLI,MRT,853437.509375,2800.64166,1082126857.25112,0.00480879203474949,0.604596801841836,0.79345266013346,1147489.71034475,914437406.398348,0.00517960863901656,0.550301876126121,0.854637552087869,33955.29296875,64405.234375,36.9055546978051,512044.250079356,512044.250079356,0.571604335352467,0.34559015307303,0.314554938146287,FALSE,0.410583142190595,176.431320581851,271.432800895156,1668514240803.75,0.0633577060976442,2369012999755.43,0.00605557354620423,0.135781980183501,0.0955775377484727,2977.07298058185,3072.07446089516,936523962868.935,0.0301775674161231,782682252863.291,0.00666907463493516,7.01652961701568,1.87646364679554,0.346649177102719
9,69,37,255583.771651715,308775.779135204,0.695344506598658,0.0148361555221355,0.723330322085276,0.0125137579186863,1420218149.15132,0.00980747015426608,MLI,MRT,853437.509375,2800.64166,1082163256.4446,0.00817262535932617,0.634964464370683,0.833306166705102,1162213.2885102,914452391.948739,0.00681846620094184,0.447660441676466,0.695231909319237,24810.248046875,103351.9921875,55.6646717548832,510265.42010208,510265.42010208,0.883954880733741,0.561279937372951,0.395711632331335,FALSE,0.613648816812676,185.265467481123,285.023796124804,1668475892192.39,0.0610578810661844,2369101686246.23,0.00979940531422585,0.228004958665328,0.160493701109668,2985.90712748112,3085.6654561248,936515685692.73,0.0292934817564428,782679873064.326,0.00636499751207609,6.46185502715916,1.74068218401092,0.316166169854684
10,48,42,105609.020820363,127588.334254456,0.695252775090825,0.00164195949539092,0.723249937266393,0.00139921237991558,1420096754.72635,0.00125904181853542,GIN,GIN,0,0,1082082261.14273,0.000687440399693706,0.416044438655316,0.546002832926844,127588.334254456,914398837.94889,0.00096166579421908,0.491816432812247,0.76380766711763,74070.2578125,169747.609375,238.185981877559,657595.226902534,657595.226902534,0.213099780585866,0.0886589785914175,0.104805973920813,FALSE,0.135521577699365,76.5530005526737,117.773847004113,1667487774303.51,0.00179893598077907,2368899298621.64,0.00125576792857629,0.991699236457086,0.698061488565286,76.5530005526737,117.773847004113,936248980542.838,0.000806689576426933,782636167644.276,0.000780568500546863,0.357520487923925,0.0900170300273178,0.0728111559171485
